t_s,pid,ppid,cpu_pct,rss_kib,comm
0,656099,656065,133,93824,sola-browser-ce
1,656099,656065,61.3,397860,sola-browser-ce
1,656108,656099,1.4,77764,sola-browser-ce
1,656109,656099,1.4,77520,sola-browser-ce
1,656181,656099,16.1,116472,sola-browser-ce
1,656177,656108,21.0,260380,sola-browser-ce
1,656182,656109,0.0,48172,sola-browser-ce
1,656193,656109,4.9,121688,sola-browser-ce
1,656195,656109,71.7,396516,sola-browser-ce
3,656099,656065,36.7,438560,sola-browser-ce
3,656108,656099,0.6,77764,sola-browser-ce
3,656109,656099,0.6,77520,sola-browser-ce
3,656181,656099,10.3,117132,sola-browser-ce
3,656177,656108,13.9,377192,sola-browser-ce
3,656182,656109,0.0,48172,sola-browser-ce
3,656193,656109,2.3,124412,sola-browser-ce
3,656195,656109,46.6,423352,sola-browser-ce
3,656352,656109,0.5,73280,sola-browser-ce
4,656099,656065,25.8,446460,sola-browser-ce
4,656108,656099,0.4,77764,sola-browser-ce
4,656109,656099,0.4,77520,sola-browser-ce
4,656181,656099,6.9,116588,sola-browser-ce
4,656177,656108,9.3,346612,sola-browser-ce
4,656182,656109,0.0,48172,sola-browser-ce
4,656193,656109,1.5,124412,sola-browser-ce
4,656195,656109,31.2,393704,sola-browser-ce
4,656352,656109,0.3,73280,sola-browser-ce
6,656099,656065,19.3,446532,sola-browser-ce
6,656108,656099,0.3,77764,sola-browser-ce
6,656109,656099,0.3,77520,sola-browser-ce
6,656181,656099,5.1,116588,sola-browser-ce
6,656177,656108,7.0,346620,sola-browser-ce
6,656182,656109,0.0,48172,sola-browser-ce
6,656193,656109,1.1,124412,sola-browser-ce
6,656195,656109,23.7,393756,sola-browser-ce
6,656352,656109,0.2,73280,sola-browser-ce
8,656099,656065,15.5,446536,sola-browser-ce
8,656108,656099,0.2,77764,sola-browser-ce
8,656109,656099,0.2,77520,sola-browser-ce
8,656181,656099,4.0,116588,sola-browser-ce
8,656177,656108,5.6,346620,sola-browser-ce
8,656182,656109,0.0,48304,sola-browser-ce
8,656193,656109,0.9,124412,sola-browser-ce
8,656195,656109,19.2,393804,sola-browser-ce
8,656352,656109,0.1,73280,sola-browser-ce
9,656099,656065,13.1,446536,sola-browser-ce
9,656108,656099,0.2,77764,sola-browser-ce
9,656109,656099,0.2,77520,sola-browser-ce
9,656181,656099,3.3,116588,sola-browser-ce
9,656177,656108,4.6,346620,sola-browser-ce
9,656182,656109,0.0,48304,sola-browser-ce
9,656193,656109,0.7,124412,sola-browser-ce
9,656195,656109,16.2,393824,sola-browser-ce
9,656352,656109,0.1,73280,sola-browser-ce
11,656099,656065,11.2,446604,sola-browser-ce
11,656108,656099,0.1,77764,sola-browser-ce
11,656109,656099,0.1,77520,sola-browser-ce
11,656181,656099,2.8,116592,sola-browser-ce
11,656177,656108,4.1,346620,sola-browser-ce
11,656182,656109,0.0,48372,sola-browser-ce
11,656193,656109,0.6,124424,sola-browser-ce
11,656195,656109,14.1,394212,sola-browser-ce
11,656352,656109,0.1,73280,sola-browser-ce
12,656099,656065,9.9,446604,sola-browser-ce
12,656108,656099,0.1,77764,sola-browser-ce
12,656109,656099,0.1,77520,sola-browser-ce
12,656181,656099,2.5,116592,sola-browser-ce
12,656177,656108,3.6,346620,sola-browser-ce
12,656182,656109,0.0,48372,sola-browser-ce
12,656193,656109,0.5,124424,sola-browser-ce
12,656195,656109,12.6,394692,sola-browser-ce
12,656352,656109,0.0,73292,sola-browser-ce
14,656099,656065,9.0,446604,sola-browser-ce
14,656108,656099,0.1,77764,sola-browser-ce
14,656109,656099,0.1,77520,sola-browser-ce
14,656181,656099,2.2,116592,sola-browser-ce
14,656177,656108,3.2,346620,sola-browser-ce
14,656182,656109,0.0,48372,sola-browser-ce
14,656193,656109,0.4,124424,sola-browser-ce
14,656195,656109,11.3,395144,sola-browser-ce
14,656352,656109,0.0,73292,sola-browser-ce
16,656099,656065,8.2,446700,sola-browser-ce
16,656108,656099,0.1,77764,sola-browser-ce
16,656109,656099,0.1,77520,sola-browser-ce
16,656181,656099,1.9,116592,sola-browser-ce
16,656177,656108,2.8,346620,sola-browser-ce
16,656182,656109,0.0,48372,sola-browser-ce
16,656193,656109,0.4,124424,sola-browser-ce
16,656195,656109,10.4,395616,sola-browser-ce
16,656352,656109,0.0,73292,sola-browser-ce
17,656099,656065,7.5,446700,sola-browser-ce
17,656108,656099,0.1,77764,sola-browser-ce
17,656109,656099,0.1,77520,sola-browser-ce
17,656181,656099,1.8,116592,sola-browser-ce
17,656177,656108,2.6,346624,sola-browser-ce
17,656182,656109,0.0,48372,sola-browser-ce
17,656193,656109,0.4,124424,sola-browser-ce
17,656195,656109,9.6,396084,sola-browser-ce
17,656352,656109,0.0,73292,sola-browser-ce
19,656099,656065,6.9,446700,sola-browser-ce
19,656108,656099,0.1,77764,sola-browser-ce
19,656109,656099,0.1,77520,sola-browser-ce
19,656181,656099,1.6,116592,sola-browser-ce
19,656177,656108,2.4,346624,sola-browser-ce
19,656182,656109,0.0,48372,sola-browser-ce
19,656193,656109,0.3,124424,sola-browser-ce
19,656195,656109,8.9,396536,sola-browser-ce
19,656352,656109,0.0,73292,sola-browser-ce
20,656099,656065,6.5,446700,sola-browser-ce
20,656108,656099,0.0,77764,sola-browser-ce
20,656109,656099,0.0,77520,sola-browser-ce
20,656181,656099,1.5,116592,sola-browser-ce
20,656177,656108,2.3,346628,sola-browser-ce
20,656182,656109,0.0,48372,sola-browser-ce
20,656193,656109,0.3,124424,sola-browser-ce
20,656195,656109,8.4,396996,sola-browser-ce
20,656352,656109,0.0,73292,sola-browser-ce
22,656099,656065,6.1,446700,sola-browser-ce
22,656108,656099,0.0,77764,sola-browser-ce
22,656109,656099,0.0,77520,sola-browser-ce
22,656181,656099,1.4,116592,sola-browser-ce
22,656177,656108,2.1,346628,sola-browser-ce
22,656182,656109,0.0,48372,sola-browser-ce
22,656193,656109,0.3,124424,sola-browser-ce
22,656195,656109,7.9,397440,sola-browser-ce
22,656352,656109,0.0,73292,sola-browser-ce
23,656099,656065,5.7,446700,sola-browser-ce
23,656108,656099,0.0,77764,sola-browser-ce
23,656109,656099,0.0,77520,sola-browser-ce
23,656181,656099,1.3,116592,sola-browser-ce
23,656177,656108,2.0,346628,sola-browser-ce
23,656182,656109,0.0,48372,sola-browser-ce
23,656193,656109,0.2,124424,sola-browser-ce
23,656195,656109,7.5,397916,sola-browser-ce
23,656352,656109,0.0,73292,sola-browser-ce
25,656099,656065,5.4,446700,sola-browser-ce
25,656108,656099,0.0,77764,sola-browser-ce
25,656109,656099,0.0,77520,sola-browser-ce
25,656181,656099,1.2,116592,sola-browser-ce
25,656177,656108,1.9,346628,sola-browser-ce
25,656182,656109,0.0,48372,sola-browser-ce
25,656193,656109,0.2,124424,sola-browser-ce
25,656195,656109,7.1,398376,sola-browser-ce
25,656352,656109,0.0,73292,sola-browser-ce
27,656099,656065,5.2,446704,sola-browser-ce
27,656108,656099,0.0,77764,sola-browser-ce
27,656109,656099,0.0,77520,sola-browser-ce
27,656181,656099,1.1,116592,sola-browser-ce
27,656177,656108,1.8,346628,sola-browser-ce
27,656182,656109,0.0,48372,sola-browser-ce
27,656193,656109,0.2,124424,sola-browser-ce
27,656195,656109,6.8,398844,sola-browser-ce
27,656352,656109,0.0,73292,sola-browser-ce
28,656099,656065,4.9,446704,sola-browser-ce
28,656108,656099,0.0,77764,sola-browser-ce
28,656109,656099,0.0,77520,sola-browser-ce
28,656181,656099,1.1,116592,sola-browser-ce
28,656177,656108,1.7,346628,sola-browser-ce
28,656182,656109,0.0,48372,sola-browser-ce
28,656193,656109,0.2,124424,sola-browser-ce
28,656195,656109,6.5,399304,sola-browser-ce
28,656352,656109,0.0,73292,sola-browser-ce
