t_s,pid,ppid,cpu_pct,rss_kib,comm
0,647023,647001,100,93488,sola-browser-ce
1,647023,647001,60.1,406844,sola-browser-ce
1,647032,647023,1.4,77668,sola-browser-ce
1,647033,647023,1.4,77612,sola-browser-ce
1,647105,647023,16.7,115728,sola-browser-ce
1,647102,647032,22.1,282780,sola-browser-ce
1,647113,647033,0.0,48164,sola-browser-ce
1,647124,647033,4.8,121852,sola-browser-ce
1,647126,647033,72.6,404356,sola-browser-ce
2,647023,647001,36.2,437264,sola-browser-ce
2,647032,647023,0.6,77668,sola-browser-ce
2,647033,647023,0.6,77612,sola-browser-ce
2,647105,647023,10.2,116064,sola-browser-ce
2,647102,647032,13.8,373088,sola-browser-ce
2,647113,647033,0.0,48164,sola-browser-ce
2,647124,647033,2.6,124528,sola-browser-ce
2,647126,647033,46.0,430024,sola-browser-ce
2,647290,647033,0.5,73252,sola-browser-ce
4,647023,647001,25.2,444948,sola-browser-ce
4,647032,647023,0.4,77668,sola-browser-ce
4,647033,647023,0.4,77612,sola-browser-ce
4,647105,647023,6.6,116452,sola-browser-ce
4,647102,647032,9.0,343480,sola-browser-ce
4,647113,647033,0.0,48164,sola-browser-ce
4,647124,647033,1.7,124528,sola-browser-ce
4,647126,647033,30.9,401308,sola-browser-ce
4,647290,647033,0.3,73252,sola-browser-ce
6,647023,647001,19.0,445016,sola-browser-ce
6,647032,647023,0.3,77668,sola-browser-ce
6,647033,647023,0.3,77612,sola-browser-ce
6,647105,647023,4.9,116452,sola-browser-ce
6,647102,647032,7.0,343480,sola-browser-ce
6,647113,647033,0.0,48164,sola-browser-ce
6,647124,647033,1.3,124528,sola-browser-ce
6,647126,647033,23.4,401364,sola-browser-ce
6,647290,647033,0.2,73252,sola-browser-ce
7,647023,647001,15.3,445016,sola-browser-ce
7,647032,647023,0.2,77668,sola-browser-ce
7,647033,647023,0.2,77612,sola-browser-ce
7,647105,647023,3.9,116452,sola-browser-ce
7,647102,647032,5.6,343480,sola-browser-ce
7,647113,647033,0.0,48296,sola-browser-ce
7,647124,647033,1.0,124528,sola-browser-ce
7,647126,647033,19.1,401412,sola-browser-ce
7,647290,647033,0.1,73252,sola-browser-ce
9,647023,647001,12.8,445016,sola-browser-ce
9,647032,647023,0.2,77668,sola-browser-ce
9,647033,647023,0.2,77612,sola-browser-ce
9,647105,647023,3.2,116452,sola-browser-ce
9,647102,647032,4.6,343480,sola-browser-ce
9,647113,647033,0.0,48296,sola-browser-ce
9,647124,647033,0.8,124528,sola-browser-ce
9,647126,647033,16.1,401432,sola-browser-ce
