t_s,pid,ppid,cpu_pct,rss_kib,comm
0,625295,625276,100,112000,sola-browser-ce
1,625295,625276,49.2,380640,sola-browser-ce
1,625304,625295,1.4,74164,sola-browser-ce
1,625305,625295,2.0,74320,sola-browser-ce
1,625377,625295,4.2,107404,sola-browser-ce
1,625374,625304,9.7,158208,sola-browser-ce
1,625378,625305,0.0,47856,sola-browser-ce
1,625388,625305,0.6,72924,sola-browser-ce
1,625395,625305,7.3,132720,sola-browser-ce
3,625295,625276,37.0,427384,sola-browser-ce
3,625304,625295,0.6,74164,sola-browser-ce
3,625305,625295,0.9,74320,sola-browser-ce
3,625377,625295,11.4,116784,sola-browser-ce
3,625374,625304,12.9,367392,sola-browser-ce
3,625378,625305,0.0,48084,sola-browser-ce
3,625388,625305,2.8,124032,sola-browser-ce
3,625395,625305,53.7,438772,sola-browser-ce
3,625549,625305,1.6,73552,sola-browser-ce
5,625295,625276,26.0,434424,sola-browser-ce
5,625304,625295,0.4,74164,sola-browser-ce
5,625305,625295,0.6,74320,sola-browser-ce
5,625377,625295,7.5,117172,sola-browser-ce
5,625374,625304,8.7,337864,sola-browser-ce
5,625378,625305,0.0,48084,sola-browser-ce
5,625388,625305,1.8,124032,sola-browser-ce
5,625395,625305,36.5,406332,sola-browser-ce
5,625549,625305,0.6,73552,sola-browser-ce
6,625295,625276,19.3,434492,sola-browser-ce
6,625304,625295,0.3,74164,sola-browser-ce
6,625305,625295,0.4,74320,sola-browser-ce
6,625377,625295,5.5,117172,sola-browser-ce
6,625374,625304,6.4,337872,sola-browser-ce
6,625378,625305,0.0,48084,sola-browser-ce
6,625388,625305,1.3,124032,sola-browser-ce
6,625395,625305,27.8,406340,sola-browser-ce
6,625549,625305,0.4,73552,sola-browser-ce
8,625295,625276,15.4,434492,sola-browser-ce
8,625304,625295,0.2,74164,sola-browser-ce
8,625305,625295,0.3,74320,sola-browser-ce
8,625377,625295,4.4,117172,sola-browser-ce
8,625374,625304,5.2,337872,sola-browser-ce
8,625378,625305,0.0,48216,sola-browser-ce
8,625388,625305,1.0,124032,sola-browser-ce
8,625395,625305,22.7,406756,sola-browser-ce
8,625549,625305,0.3,73552,sola-browser-ce
10,625295,625276,12.7,434492,sola-browser-ce
10,625304,625295,0.2,74164,sola-browser-ce
10,625305,625295,0.3,74320,sola-browser-ce
10,625377,625295,3.6,117172,sola-browser-ce
10,625374,625304,4.4,337872,sola-browser-ce
10,625378,625305,0.0,48216,sola-browser-ce
10,625388,625305,0.9,124032,sola-browser-ce
10,625395,625305,19.3,407252,sola-browser-ce
10,625549,625305,0.2,73552,sola-browser-ce
12,625295,625276,11.0,434608,sola-browser-ce
12,625304,625295,0.1,74164,sola-browser-ce
12,625305,625295,0.2,74320,sola-browser-ce
12,625377,625295,3.1,117176,sola-browser-ce
12,625374,625304,3.8,337872,sola-browser-ce
12,625378,625305,0.0,48284,sola-browser-ce
12,625388,625305,0.7,124044,sola-browser-ce
12,625395,625305,16.9,407760,sola-browser-ce
12,625549,625305,0.2,73552,sola-browser-ce
