t_s,pid,ppid,cpu_pct,rss_kib,comm
0,653643,653628,75.0,69116,sola-browser-wp
1,653643,653628,34.3,228760,sola-browser-wp
1,653655,653643,35.7,135788,WPENetworkProce
1,653659,653643,0.0,2248,bwrap
1,653668,653643,0.0,2300,bwrap
1,653660,653659,0.0,1648,bwrap
1,653670,653668,0.0,1668,bwrap
1,653665,653660,0.0,6104,xdg-dbus-proxy
1,653707,653670,84.2,492028,WPEWebProcess
3,653643,653628,29.0,231196,sola-browser-wp
3,653655,653643,21.4,108236,WPENetworkProce
3,653659,653643,0.0,2248,bwrap
3,653668,653643,0.0,2300,bwrap
3,653660,653659,0.0,1648,bwrap
3,653670,653668,0.0,1668,bwrap
3,653665,653660,0.0,6104,xdg-dbus-proxy
3,653707,653670,100,898472,WPEWebProcess
5,653643,653628,26.6,231044,sola-browser-wp
5,653655,653643,14.0,108236,WPENetworkProce
5,653659,653643,0.0,2248,bwrap
5,653668,653643,0.0,2300,bwrap
5,653660,653659,0.0,1648,bwrap
5,653670,653668,0.0,1668,bwrap
5,653665,653660,0.0,6104,xdg-dbus-proxy
5,653707,653670,69.8,895976,WPEWebProcess
6,653643,653628,25.2,231148,sola-browser-wp
6,653655,653643,10.4,108236,WPENetworkProce
6,653659,653643,0.0,2248,bwrap
6,653668,653643,0.0,2300,bwrap
6,653660,653659,0.0,1648,bwrap
6,653670,653668,0.0,1668,bwrap
6,653665,653660,0.0,6104,xdg-dbus-proxy
6,653707,653670,54.4,895804,WPEWebProcess
8,653643,653628,24.5,231152,sola-browser-wp
8,653655,653643,8.3,107516,WPENetworkProce
8,653659,653643,0.0,2248,bwrap
8,653668,653643,0.0,2300,bwrap
8,653660,653659,0.0,1648,bwrap
8,653670,653668,0.0,1668,bwrap
8,653665,653660,0.0,6104,xdg-dbus-proxy
8,653707,653670,45.3,895880,WPEWebProcess
9,653643,653628,24.1,231152,sola-browser-wp
9,653655,653643,6.8,107448,WPENetworkProce
9,653659,653643,0.0,2248,bwrap
9,653668,653643,0.0,2300,bwrap
9,653660,653659,0.0,1648,bwrap
9,653670,653668,0.0,1668,bwrap
9,653665,653660,0.0,6104,xdg-dbus-proxy
9,653707,653670,38.6,895600,WPEWebProcess
11,653643,653628,23.9,231152,sola-browser-wp
11,653655,653643,5.8,107448,WPENetworkProce
11,653659,653643,0.0,2248,bwrap
11,653668,653643,0.0,2300,bwrap
11,653660,653659,0.0,1648,bwrap
11,653670,653668,0.0,1668,bwrap
11,653665,653660,0.0,6104,xdg-dbus-proxy
11,653707,653670,33.9,895600,WPEWebProcess
12,653643,653628,23.6,231156,sola-browser-wp
12,653655,653643,5.1,107448,WPENetworkProce
12,653659,653643,0.0,2248,bwrap
12,653668,653643,0.0,2300,bwrap
12,653660,653659,0.0,1648,bwrap
12,653670,653668,0.0,1668,bwrap
12,653665,653660,0.0,6104,xdg-dbus-proxy
12,653707,653670,30.4,893024,WPEWebProcess
14,653643,653628,23.5,231156,sola-browser-wp
14,653655,653643,4.5,107448,WPENetworkProce
14,653659,653643,0.0,2248,bwrap
14,653668,653643,0.0,2300,bwrap
14,653660,653659,0.0,1648,bwrap
14,653670,653668,0.0,1668,bwrap
14,653665,653660,0.0,6104,xdg-dbus-proxy
14,653707,653670,27.6,892220,WPEWebProcess
15,653643,653628,23.4,231156,sola-browser-wp
15,653655,653643,4.0,107448,WPENetworkProce
15,653659,653643,0.0,2248,bwrap
15,653668,653643,0.0,2300,bwrap
15,653660,653659,0.0,1648,bwrap
15,653670,653668,0.0,1668,bwrap
15,653665,653660,0.0,6104,xdg-dbus-proxy
15,653707,653670,25.5,891736,WPEWebProcess
17,653643,653628,23.4,231156,sola-browser-wp
17,653655,653643,3.7,107448,WPENetworkProce
17,653659,653643,0.0,2248,bwrap
17,653668,653643,0.0,2300,bwrap
17,653660,653659,0.0,1648,bwrap
17,653670,653668,0.0,1668,bwrap
17,653665,653660,0.0,6232,xdg-dbus-proxy
17,653707,653670,23.7,891736,WPEWebProcess
18,653643,653628,23.3,231156,sola-browser-wp
18,653655,653643,3.4,107336,WPENetworkProce
18,653659,653643,0.0,2248,bwrap
18,653668,653643,0.0,2300,bwrap
18,653660,653659,0.0,1648,bwrap
18,653670,653668,0.0,1668,bwrap
18,653665,653660,0.0,6232,xdg-dbus-proxy
18,653707,653670,22.2,890640,WPEWebProcess
20,653643,653628,23.3,231156,sola-browser-wp
20,653655,653643,3.1,107320,WPENetworkProce
20,653659,653643,0.0,2248,bwrap
20,653668,653643,0.0,2300,bwrap
20,653660,653659,0.0,1648,bwrap
20,653670,653668,0.0,1668,bwrap
20,653665,653660,0.0,6232,xdg-dbus-proxy
20,653707,653670,21.0,890740,WPEWebProcess
21,653643,653628,23.2,231156,sola-browser-wp
21,653655,653643,2.9,107320,WPENetworkProce
21,653659,653643,0.0,2248,bwrap
21,653668,653643,0.0,2300,bwrap
21,653660,653659,0.0,1648,bwrap
21,653670,653668,0.0,1668,bwrap
21,653665,653660,0.0,6232,xdg-dbus-proxy
21,653707,653670,19.8,890744,WPEWebProcess
23,653643,653628,23.2,231156,sola-browser-wp
23,653655,653643,2.7,107320,WPENetworkProce
23,653659,653643,0.0,2248,bwrap
23,653668,653643,0.0,2300,bwrap
23,653660,653659,0.0,1648,bwrap
23,653670,653668,0.0,1668,bwrap
23,653665,653660,0.0,6232,xdg-dbus-proxy
23,653707,653670,18.8,890752,WPEWebProcess
24,653643,653628,23.1,231156,sola-browser-wp
24,653655,653643,2.5,107320,WPENetworkProce
24,653659,653643,0.0,2248,bwrap
24,653668,653643,0.0,2300,bwrap
24,653660,653659,0.0,1648,bwrap
24,653670,653668,0.0,1668,bwrap
24,653665,653660,0.0,6232,xdg-dbus-proxy
24,653707,653670,18.0,890764,WPEWebProcess
26,653643,653628,23.0,231156,sola-browser-wp
26,653655,653643,2.3,107320,WPENetworkProce
26,653659,653643,0.0,2248,bwrap
26,653668,653643,0.0,2300,bwrap
26,653660,653659,0.0,1648,bwrap
26,653670,653668,0.0,1668,bwrap
26,653665,653660,0.0,6232,xdg-dbus-proxy
26,653707,653670,17.2,890780,WPEWebProcess
28,653643,653628,22.9,231156,sola-browser-wp
28,653655,653643,2.2,107320,WPENetworkProce
28,653659,653643,0.0,2248,bwrap
28,653668,653643,0.0,2300,bwrap
28,653660,653659,0.0,1648,bwrap
28,653670,653668,0.0,1668,bwrap
28,653665,653660,0.0,6232,xdg-dbus-proxy
28,653707,653670,16.6,890788,WPEWebProcess
29,653643,653628,22.9,231156,sola-browser-wp
29,653655,653643,2.1,107320,WPENetworkProce
29,653659,653643,0.0,2248,bwrap
29,653668,653643,0.0,2300,bwrap
29,653660,653659,0.0,1648,bwrap
29,653670,653668,0.0,1668,bwrap
29,653665,653660,0.0,6232,xdg-dbus-proxy
29,653707,653670,16.0,890784,WPEWebProcess
