t_s,pid,ppid,cpu_pct,rss_kib,comm
0,644572,644557,100,69144,sola-browser-wp
1,644572,644557,28.4,228792,sola-browser-wp
1,644584,644572,36.4,136456,WPENetworkProce
1,644588,644572,0.0,2260,bwrap
1,644597,644572,0.0,2264,bwrap
1,644589,644588,0.0,1656,bwrap
1,644599,644597,0.0,1672,bwrap
1,644594,644589,0.0,6096,xdg-dbus-proxy
1,644636,644599,78.9,471228,WPEWebProcess
3,644572,644557,25.6,231332,sola-browser-wp
3,644584,644572,22.4,111516,WPENetworkProce
3,644588,644572,0.0,2260,bwrap
3,644597,644572,0.0,2264,bwrap
3,644589,644588,0.0,1656,bwrap
3,644599,644597,0.0,1672,bwrap
3,644594,644589,0.0,6096,xdg-dbus-proxy
3,644636,644599,106,939144,WPEWebProcess
4,644572,644557,23.8,231124,sola-browser-wp
4,644584,644572,14.8,111504,WPENetworkProce
4,644588,644572,0.0,2260,bwrap
4,644597,644572,0.0,2264,bwrap
4,644589,644588,0.0,1656,bwrap
4,644599,644597,0.0,1672,bwrap
4,644594,644589,0.0,6096,xdg-dbus-proxy
4,644636,644599,74.4,891720,WPEWebProcess
6,644572,644557,23.1,231224,sola-browser-wp
6,644584,644572,10.9,111504,WPENetworkProce
6,644588,644572,0.0,2260,bwrap
6,644597,644572,0.0,2264,bwrap
6,644589,644588,0.0,1656,bwrap
6,644599,644597,0.0,1672,bwrap
6,644594,644589,0.0,6096,xdg-dbus-proxy
6,644636,644599,57.6,893668,WPEWebProcess
7,644572,644557,23.0,231236,sola-browser-wp
7,644584,644572,8.8,108812,WPENetworkProce
7,644588,644572,0.0,2260,bwrap
7,644597,644572,0.0,2264,bwrap
7,644589,644588,0.0,1656,bwrap
7,644599,644597,0.0,1672,bwrap
7,644594,644589,0.0,6096,xdg-dbus-proxy
7,644636,644599,48.0,892248,WPEWebProcess
9,644572,644557,22.8,231240,sola-browser-wp
9,644584,644572,7.3,108352,WPENetworkProce
9,644588,644572,0.0,2260,bwrap
9,644597,644572,0.0,2264,bwrap
9,644589,644588,0.0,1656,bwrap
9,644599,644597,0.0,1672,bwrap
9,644594,644589,0.0,6096,xdg-dbus-proxy
9,644636,644599,40.9,892256,WPEWebProcess
10,644572,644557,22.7,231240,sola-browser-wp
10,644584,644572,6.3,108352,WPENetworkProce
10,644588,644572,0.0,2260,bwrap
10,644597,644572,0.0,2264,bwrap
10,644589,644588,0.0,1656,bwrap
10,644599,644597,0.0,1672,bwrap
10,644594,644589,0.0,6096,xdg-dbus-proxy
10,644636,644599,35.8,892252,WPEWebProcess
12,644572,644557,22.7,231240,sola-browser-wp
12,644584,644572,5.5,108352,WPENetworkProce
