t_s,pid,ppid,cpu_pct,rss_kib,comm
0,640069,640037,133,69000,sola-browser-wp
2,640069,640037,35.7,228896,sola-browser-wp
2,640081,640069,35.2,139560,WPENetworkProce
2,640085,640069,0.0,2284,bwrap
2,640094,640069,0.0,2272,bwrap
2,640086,640085,0.0,1656,bwrap
2,640096,640094,0.0,1668,bwrap
2,640091,640086,0.0,6152,xdg-dbus-proxy
2,640133,640096,64.4,372964,WPEWebProcess
3,640069,640037,30.4,231228,sola-browser-wp
3,640081,640069,27.3,110472,WPENetworkProce
3,640085,640069,0.0,2284,bwrap
3,640094,640069,0.0,2272,bwrap
3,640086,640085,0.0,1656,bwrap
3,640096,640094,0.0,1668,bwrap
3,640091,640086,0.0,6152,xdg-dbus-proxy
3,640133,640096,106,914976,WPEWebProcess
5,640069,640037,27.3,231120,sola-browser-wp
5,640081,640069,18.0,109288,WPENetworkProce
5,640085,640069,0.0,2284,bwrap
5,640094,640069,0.0,2272,bwrap
5,640086,640085,0.0,1656,bwrap
5,640096,640094,0.0,1668,bwrap
5,640091,640086,0.0,6152,xdg-dbus-proxy
5,640133,640096,73.7,915168,WPEWebProcess
6,640069,640037,25.8,231216,sola-browser-wp
6,640081,640069,13.3,109288,WPENetworkProce
6,640085,640069,0.0,2284,bwrap
6,640094,640069,0.0,2272,bwrap
6,640086,640085,0.0,1656,bwrap
6,640096,640094,0.0,1668,bwrap
6,640091,640086,0.0,6152,xdg-dbus-proxy
6,640133,640096,57.3,913280,WPEWebProcess
8,640069,640037,25.1,231220,sola-browser-wp
8,640081,640069,10.6,108704,WPENetworkProce
8,640085,640069,0.0,2284,bwrap
8,640094,640069,0.0,2272,bwrap
8,640086,640085,0.0,1656,bwrap
8,640096,640094,0.0,1668,bwrap
8,640091,640086,0.0,6152,xdg-dbus-proxy
8,640133,640096,46.9,913260,WPEWebProcess
9,640069,640037,24.6,231220,sola-browser-wp
9,640081,640069,8.8,108480,WPENetworkProce
9,640085,640069,0.0,2284,bwrap
9,640094,640069,0.0,2272,bwrap
9,640086,640085,0.0,1656,bwrap
9,640096,640094,0.0,1668,bwrap
9,640091,640086,0.0,6152,xdg-dbus-proxy
9,640133,640096,40.1,913228,WPEWebProcess
11,640069,640037,24.3,231220,sola-browser-wp
