t_s,pid,ppid,cpu_pct,rss_kib,comm
0,649151,649117,75.0,68392,sola-browser-wp
1,649151,649117,33.5,228024,sola-browser-wp
1,649163,649151,29.9,115332,WPENetworkProce
1,649167,649151,0.0,2256,bwrap
1,649176,649151,0.0,2296,bwrap
1,649168,649167,0.0,1660,bwrap
1,649178,649176,0.0,1664,bwrap
1,649173,649168,0.0,6104,xdg-dbus-proxy
1,649215,649178,35.7,236192,WPEWebProcess
2,649151,649117,25.9,231284,sola-browser-wp
2,649163,649151,21.4,109272,WPENetworkProce
2,649167,649151,0.0,2256,bwrap
2,649176,649151,0.0,2296,bwrap
2,649168,649167,0.0,1660,bwrap
2,649178,649176,0.0,1664,bwrap
2,649173,649168,0.0,6104,xdg-dbus-proxy
2,649215,649178,102,918172,WPEWebProcess
4,649151,649117,24.0,231108,sola-browser-wp
4,649163,649151,14.0,109200,WPENetworkProce
4,649167,649151,0.0,2256,bwrap
4,649176,649151,0.0,2296,bwrap
4,649168,649167,0.0,1660,bwrap
4,649178,649176,0.0,1664,bwrap
4,649173,649168,0.0,6104,xdg-dbus-proxy
4,649215,649178,70.7,896780,WPEWebProcess
5,649151,649117,23.3,231208,sola-browser-wp
5,649163,649151,10.4,109200,WPENetworkProce
5,649167,649151,0.0,2256,bwrap
5,649176,649151,0.0,2296,bwrap
5,649168,649167,0.0,1660,bwrap
5,649178,649176,0.0,1664,bwrap
5,649173,649168,0.0,6104,xdg-dbus-proxy
5,649215,649178,55.3,895932,WPEWebProcess
7,649151,649117,23.0,231208,sola-browser-wp
7,649163,649151,8.3,108984,WPENetworkProce
7,649167,649151,0.0,2256,bwrap
7,649176,649151,0.0,2296,bwrap
7,649168,649167,0.0,1660,bwrap
7,649178,649176,0.0,1664,bwrap
7,649173,649168,0.0,6104,xdg-dbus-proxy
7,649215,649178,45.5,895796,WPEWebProcess
8,649151,649117,22.9,231208,sola-browser-wp
8,649163,649151,6.9,108172,WPENetworkProce
8,649167,649151,0.0,2256,bwrap
8,649176,649151,0.0,2296,bwrap
8,649168,649167,0.0,1660,bwrap
8,649178,649176,0.0,1664,bwrap
8,649173,649168,0.0,6104,xdg-dbus-proxy
8,649215,649178,39.4,895652,WPEWebProcess
10,649151,649117,22.7,231216,sola-browser-wp
10,649163,649151,5.9,108172,WPENetworkProce
10,649167,649151,0.0,2256,bwrap
10,649176,649151,0.0,2296,bwrap
10,649168,649167,0.0,1660,bwrap
10,649178,649176,0.0,1664,bwrap
10,649173,649168,0.0,6104,xdg-dbus-proxy
10,649215,649178,34.5,895652,WPEWebProcess
11,649151,649117,22.7,231216,sola-browser-wp
11,649163,649151,5.1,108172,WPENetworkProce
11,649167,649151,0.0,2256,bwrap
11,649176,649151,0.0,2296,bwrap
11,649168,649167,0.0,1660,bwrap
11,649178,649176,0.0,1664,bwrap
11,649173,649168,0.0,6104,xdg-dbus-proxy
11,649215,649178,30.8,895652,WPEWebProcess
13,649151,649117,22.5,231216,sola-browser-wp
13,649163,649151,4.5,107940,WPENetworkProce
13,649167,649151,0.0,2256,bwrap
13,649176,649151,0.0,2296,bwrap
13,649168,649167,0.0,1660,bwrap
13,649178,649176,0.0,1664,bwrap
13,649173,649168,0.0,6104,xdg-dbus-proxy
13,649215,649178,27.9,893880,WPEWebProcess
14,649151,649117,22.6,231216,sola-browser-wp
14,649163,649151,4.1,107940,WPENetworkProce
14,649167,649151,0.0,2256,bwrap
14,649176,649151,0.0,2296,bwrap
14,649168,649167,0.0,1660,bwrap
14,649178,649176,0.0,1664,bwrap
14,649173,649168,0.0,6104,xdg-dbus-proxy
14,649215,649178,25.6,893732,WPEWebProcess
16,649151,649117,22.5,231220,sola-browser-wp
16,649163,649151,3.7,107940,WPENetworkProce
16,649167,649151,0.0,2256,bwrap
16,649176,649151,0.0,2296,bwrap
16,649168,649167,0.0,1660,bwrap
16,649178,649176,0.0,1664,bwrap
16,649173,649168,0.0,6104,xdg-dbus-proxy
16,649215,649178,23.8,893632,WPEWebProcess
17,649151,649117,22.6,231220,sola-browser-wp
17,649163,649151,3.4,107828,WPENetworkProce
17,649167,649151,0.0,2256,bwrap
17,649176,649151,0.0,2296,bwrap
17,649168,649167,0.0,1660,bwrap
17,649178,649176,0.0,1664,bwrap
17,649173,649168,0.0,6232,xdg-dbus-proxy
17,649215,649178,22.2,893400,WPEWebProcess
19,649151,649117,22.6,231220,sola-browser-wp
19,649163,649151,3.1,107828,WPENetworkProce
19,649167,649151,0.0,2256,bwrap
19,649176,649151,0.0,2296,bwrap
19,649168,649167,0.0,1660,bwrap
19,649178,649176,0.0,1664,bwrap
19,649173,649168,0.0,6232,xdg-dbus-proxy
19,649215,649178,21.0,892392,WPEWebProcess
21,649151,649117,22.6,231220,sola-browser-wp
21,649163,649151,2.9,107828,WPENetworkProce
21,649167,649151,0.0,2256,bwrap
21,649176,649151,0.0,2296,bwrap
21,649168,649167,0.0,1660,bwrap
21,649178,649176,0.0,1664,bwrap
21,649173,649168,0.0,6232,xdg-dbus-proxy
21,649215,649178,19.9,892404,WPEWebProcess
22,649151,649117,22.6,231224,sola-browser-wp
22,649163,649151,2.7,107828,WPENetworkProce
22,649167,649151,0.0,2256,bwrap
22,649176,649151,0.0,2296,bwrap
22,649168,649167,0.0,1660,bwrap
22,649178,649176,0.0,1664,bwrap
22,649173,649168,0.0,6232,xdg-dbus-proxy
22,649215,649178,19.0,892408,WPEWebProcess
24,649151,649117,22.7,231224,sola-browser-wp
24,649163,649151,2.5,107812,WPENetworkProce
24,649167,649151,0.0,2256,bwrap
24,649176,649151,0.0,2296,bwrap
24,649168,649167,0.0,1660,bwrap
24,649178,649176,0.0,1664,bwrap
24,649173,649168,0.0,6232,xdg-dbus-proxy
24,649215,649178,18.2,892416,WPEWebProcess
25,649151,649117,22.6,231224,sola-browser-wp
25,649163,649151,2.3,107812,WPENetworkProce
25,649167,649151,0.0,2256,bwrap
25,649176,649151,0.0,2296,bwrap
25,649168,649167,0.0,1660,bwrap
25,649178,649176,0.0,1664,bwrap
25,649173,649168,0.0,6232,xdg-dbus-proxy
25,649215,649178,17.5,892420,WPEWebProcess
27,649151,649117,22.7,231224,sola-browser-wp
27,649163,649151,2.2,107812,WPENetworkProce
27,649167,649151,0.0,2256,bwrap
27,649176,649151,0.0,2296,bwrap
27,649168,649167,0.0,1660,bwrap
27,649178,649176,0.0,1664,bwrap
27,649173,649168,0.0,6232,xdg-dbus-proxy
27,649215,649178,16.8,892428,WPEWebProcess
28,649151,649117,22.7,231224,sola-browser-wp
28,649163,649151,2.1,107812,WPENetworkProce
28,649167,649151,0.0,2256,bwrap
28,649176,649151,0.0,2296,bwrap
