t_s,pid,ppid,cpu_pct,rss_kib,comm
0,694175,694141,100,97900,sola-browser-ce
1,694175,694141,50.0,392452,sola-browser-ce
1,694184,694175,0.7,74164,sola-browser-ce
1,694185,694175,1.4,73924,sola-browser-ce
1,694257,694175,3.0,107028,sola-browser-ce
1,694254,694184,15.5,226188,sola-browser-ce
1,694258,694185,0.0,46668,sola-browser-ce
1,694268,694185,0.7,73676,sola-browser-ce
1,694269,694185,1.4,104708,sola-browser-ce
2,694175,694141,26.5,402716,sola-browser-ce
2,694184,694175,0.3,74164,sola-browser-ce
2,694185,694175,0.6,73924,sola-browser-ce
2,694257,694175,1.4,107844,sola-browser-ce
2,694254,694184,7.3,220156,sola-browser-ce
2,694258,694185,0.0,46668,sola-browser-ce
2,694268,694185,0.3,73676,sola-browser-ce
2,694269,694185,0.6,104708,sola-browser-ce
4,694175,694141,17.4,402720,sola-browser-ce
4,694184,694175,0.2,74164,sola-browser-ce
4,694185,694175,0.4,73924,sola-browser-ce
4,694257,694175,0.9,107844,sola-browser-ce
4,694254,694184,4.8,220168,sola-browser-ce
4,694258,694185,0.0,46668,sola-browser-ce
4,694268,694185,0.2,73676,sola-browser-ce
4,694269,694185,0.4,104712,sola-browser-ce
5,694175,694141,13.0,402788,sola-browser-ce
5,694184,694175,0.1,74164,sola-browser-ce
5,694185,694175,0.3,73924,sola-browser-ce
5,694257,694175,0.6,107844,sola-browser-ce
5,694254,694184,3.5,220168,sola-browser-ce
5,694258,694185,0.0,46668,sola-browser-ce
5,694268,694185,0.1,73676,sola-browser-ce
5,694269,694185,0.3,104712,sola-browser-ce
7,694175,694141,10.3,402788,sola-browser-ce
7,694184,694175,0.1,74164,sola-browser-ce
7,694185,694175,0.2,73924,sola-browser-ce
7,694257,694175,0.5,107844,sola-browser-ce
7,694254,694184,2.8,220168,sola-browser-ce
7,694258,694185,0.0,46668,sola-browser-ce
7,694268,694185,0.1,73676,sola-browser-ce
7,694269,694185,0.2,104712,sola-browser-ce
8,694175,694141,8.7,402788,sola-browser-ce
8,694184,694175,0.1,74164,sola-browser-ce
8,694185,694175,0.2,73924,sola-browser-ce
8,694257,694175,0.4,107844,sola-browser-ce
8,694254,694184,2.4,220168,sola-browser-ce
8,694258,694185,0.0,46668,sola-browser-ce
8,694268,694185,0.1,73676,sola-browser-ce
8,694269,694185,0.2,104712,sola-browser-ce
10,694175,694141,7.4,402856,sola-browser-ce
10,694184,694175,0.0,74164,sola-browser-ce
10,694185,694175,0.1,73924,sola-browser-ce
10,694257,694175,0.3,107848,sola-browser-ce
10,694254,694184,2.0,220168,sola-browser-ce
10,694258,694185,0.0,46736,sola-browser-ce
10,694268,694185,0.0,73688,sola-browser-ce
10,694269,694185,0.1,104720,sola-browser-ce
11,694175,694141,6.5,402856,sola-browser-ce
11,694184,694175,0.0,74164,sola-browser-ce
11,694185,694175,0.1,73924,sola-browser-ce
11,694257,694175,0.3,107848,sola-browser-ce
11,694254,694184,1.8,220168,sola-browser-ce
11,694258,694185,0.0,46736,sola-browser-ce
11,694268,694185,0.0,73688,sola-browser-ce
11,694269,694185,0.1,104720,sola-browser-ce
13,694175,694141,5.8,402856,sola-browser-ce
13,694184,694175,0.0,74164,sola-browser-ce
13,694185,694175,0.1,73924,sola-browser-ce
13,694257,694175,0.2,107848,sola-browser-ce
13,694254,694184,1.6,220168,sola-browser-ce
13,694258,694185,0.0,46736,sola-browser-ce
13,694268,694185,0.0,73688,sola-browser-ce
13,694269,694185,0.1,104720,sola-browser-ce
15,694175,694141,5.2,402856,sola-browser-ce
15,694184,694175,0.0,74164,sola-browser-ce
15,694185,694175,0.1,73924,sola-browser-ce
15,694257,694175,0.2,107848,sola-browser-ce
15,694254,694184,1.5,220168,sola-browser-ce
15,694258,694185,0.0,46736,sola-browser-ce
15,694268,694185,0.0,73688,sola-browser-ce
15,694269,694185,0.1,104720,sola-browser-ce
16,694175,694141,4.8,402944,sola-browser-ce
16,694184,694175,0.0,74164,sola-browser-ce
16,694185,694175,0.1,73924,sola-browser-ce
16,694257,694175,0.2,107848,sola-browser-ce
16,694254,694184,1.3,220168,sola-browser-ce
16,694258,694185,0.0,46736,sola-browser-ce
