t_s,pid,ppid,cpu_pct,rss_kib,comm
0,702605,702590,100,97860,sola-browser-ce
1,702605,702590,68.8,538744,sola-browser-ce
1,702614,702605,0.7,72952,sola-browser-ce
1,702615,702605,2.1,73032,sola-browser-ce
1,702687,702605,27.9,113316,sola-browser-ce
1,702684,702614,43.8,380308,sola-browser-ce
1,702689,702615,0.0,48024,sola-browser-ce
1,702699,702615,0.7,73668,sola-browser-ce
1,702701,702615,91.6,277956,sola-browser-ce
2,702605,702590,41.0,552140,sola-browser-ce
2,702614,702605,0.3,72952,sola-browser-ce
2,702615,702605,1.0,73032,sola-browser-ce
2,702687,702605,13.1,113380,sola-browser-ce
2,702684,702614,32.3,422440,sola-browser-ce
2,702689,702615,0.0,48024,sola-browser-ce
2,702699,702615,0.3,73668,sola-browser-ce
2,702701,702615,55.4,301080,sola-browser-ce
4,702605,702590,31.6,552224,sola-browser-ce
4,702614,702605,0.2,72952,sola-browser-ce
4,702615,702605,0.6,73032,sola-browser-ce
4,702687,702605,8.6,113380,sola-browser-ce
4,702684,702614,24.8,421148,sola-browser-ce
4,702689,702615,0.0,48024,sola-browser-ce
4,702699,702615,0.2,73668,sola-browser-ce
4,702701,702615,38.0,299784,sola-browser-ce
6,702605,702590,28.4,562056,sola-browser-ce
6,702614,702605,0.1,72952,sola-browser-ce
6,702615,702605,0.5,73032,sola-browser-ce
6,702687,702605,6.3,113772,sola-browser-ce
6,702684,702614,21.4,419980,sola-browser-ce
6,702689,702615,0.0,48024,sola-browser-ce
6,702699,702615,0.1,73668,sola-browser-ce
6,702701,702615,31.1,300128,sola-browser-ce
7,702605,702590,25.5,562144,sola-browser-ce
7,702614,702605,0.1,72952,sola-browser-ce
7,702615,702605,0.3,73032,sola-browser-ce
7,702687,702605,5.0,113772,sola-browser-ce
7,702684,702614,19.0,420084,sola-browser-ce
7,702689,702615,0.0,48156,sola-browser-ce
7,702699,702615,0.1,73668,sola-browser-ce
7,702701,702615,25.6,300580,sola-browser-ce
9,702605,702590,23.5,562160,sola-browser-ce
9,702614,702605,0.1,72952,sola-browser-ce
9,702615,702605,0.3,73032,sola-browser-ce
9,702687,702605,4.2,113772,sola-browser-ce
9,702684,702614,17.3,420132,sola-browser-ce
9,702689,702615,0.0,48156,sola-browser-ce
9,702699,702615,0.1,73668,sola-browser-ce
9,702701,702615,22.0,300624,sola-browser-ce
10,702605,702590,22.1,562248,sola-browser-ce
10,702614,702605,0.0,72952,sola-browser-ce
10,702615,702605,0.2,73032,sola-browser-ce
10,702687,702605,3.5,113776,sola-browser-ce
10,702684,702614,16.0,420176,sola-browser-ce
10,702689,702615,0.0,48224,sola-browser-ce
10,702699,702615,0.0,73680,sola-browser-ce
10,702701,702615,19.5,300700,sola-browser-ce
12,702605,702590,20.9,562260,sola-browser-ce
12,702614,702605,0.0,72952,sola-browser-ce
12,702615,702605,0.2,73032,sola-browser-ce
12,702687,702605,3.1,113776,sola-browser-ce
12,702684,702614,15.0,420224,sola-browser-ce
12,702689,702615,0.0,48224,sola-browser-ce
12,702699,702615,0.0,73680,sola-browser-ce
12,702701,702615,17.5,300768,sola-browser-ce
13,702605,702590,20.2,562276,sola-browser-ce
13,702614,702605,0.0,72952,sola-browser-ce
13,702615,702605,0.2,73032,sola-browser-ce
13,702687,702605,2.7,113776,sola-browser-ce
13,702684,702614,14.3,420268,sola-browser-ce
13,702689,702615,0.0,48224,sola-browser-ce
13,702699,702615,0.0,73680,sola-browser-ce
13,702701,702615,16.0,300848,sola-browser-ce
15,702605,702590,19.5,562468,sola-browser-ce
15,702614,702605,0.0,72952,sola-browser-ce
15,702615,702605,0.1,73032,sola-browser-ce
15,702687,702605,2.4,113776,sola-browser-ce
15,702684,702614,13.8,420340,sola-browser-ce
15,702689,702615,0.0,48224,sola-browser-ce
15,702699,702615,0.0,73680,sola-browser-ce
15,702701,702615,14.7,300928,sola-browser-ce
16,702605,702590,18.9,562484,sola-browser-ce
16,702614,702605,0.0,72952,sola-browser-ce
16,702615,702605,0.1,73032,sola-browser-ce
16,702687,702605,2.2,113776,sola-browser-ce
16,702684,702614,13.3,420404,sola-browser-ce
16,702689,702615,0.0,48224,sola-browser-ce
16,702699,702615,0.0,73680,sola-browser-ce
16,702701,702615,13.7,300992,sola-browser-ce
18,702605,702590,18.5,562496,sola-browser-ce
18,702614,702605,0.0,72952,sola-browser-ce
18,702615,702605,0.1,73032,sola-browser-ce
18,702687,702605,2.0,113776,sola-browser-ce
18,702684,702614,12.9,420436,sola-browser-ce
18,702689,702615,0.0,48224,sola-browser-ce
18,702699,702615,0.0,73680,sola-browser-ce
18,702701,702615,12.9,301072,sola-browser-ce
19,702605,702590,18.1,565688,sola-browser-ce
19,702614,702605,0.0,72952,sola-browser-ce
19,702615,702605,0.1,73032,sola-browser-ce
19,702687,702605,1.9,113776,sola-browser-ce
19,702684,702614,12.7,420508,sola-browser-ce
19,702689,702615,0.0,48224,sola-browser-ce
19,702699,702615,0.0,73680,sola-browser-ce
19,702701,702615,12.2,301172,sola-browser-ce
21,702605,702590,17.8,562520,sola-browser-ce
21,702614,702605,0.0,72952,sola-browser-ce
21,702615,702605,0.1,73032,sola-browser-ce
21,702687,702605,1.8,113776,sola-browser-ce
21,702684,702614,12.4,420536,sola-browser-ce
21,702689,702615,0.0,48224,sola-browser-ce
21,702699,702615,0.0,73680,sola-browser-ce
21,702701,702615,11.6,301212,sola-browser-ce
23,702605,702590,17.6,566920,sola-browser-ce
23,702614,702605,0.0,72952,sola-browser-ce
23,702615,702605,0.1,73032,sola-browser-ce
23,702687,702605,1.6,113776,sola-browser-ce
23,702684,702614,12.2,420584,sola-browser-ce
23,702689,702615,0.0,48224,sola-browser-ce
23,702699,702615,0.0,73680,sola-browser-ce
23,702701,702615,11.1,301260,sola-browser-ce
24,702605,702590,17.3,562532,sola-browser-ce
24,702614,702605,0.0,72952,sola-browser-ce
24,702615,702605,0.1,73032,sola-browser-ce
24,702687,702605,1.5,113776,sola-browser-ce
24,702684,702614,12.0,420628,sola-browser-ce
24,702689,702615,0.0,48224,sola-browser-ce
24,702699,702615,0.0,73680,sola-browser-ce
24,702701,702615,10.7,301384,sola-browser-ce
26,702605,702590,17.1,562536,sola-browser-ce
26,702614,702605,0.0,72952,sola-browser-ce
26,702615,702605,0.1,73032,sola-browser-ce
26,702687,702605,1.4,113776,sola-browser-ce
26,702684,702614,11.8,420676,sola-browser-ce
26,702689,702615,0.0,48224,sola-browser-ce
26,702699,702615,0.0,73680,sola-browser-ce
26,702701,702615,10.3,301436,sola-browser-ce
27,702605,702590,16.9,562540,sola-browser-ce
27,702614,702605,0.0,72952,sola-browser-ce
27,702615,702605,0.1,73032,sola-browser-ce
27,702687,702605,1.4,113776,sola-browser-ce
27,702684,702614,11.6,420720,sola-browser-ce
27,702689,702615,0.0,48224,sola-browser-ce
27,702699,702615,0.0,73680,sola-browser-ce
27,702701,702615,9.9,301480,sola-browser-ce
29,702605,702590,16.8,562544,sola-browser-ce
29,702614,702605,0.0,72952,sola-browser-ce
29,702615,702605,0.1,73032,sola-browser-ce
29,702687,702605,1.3,113776,sola-browser-ce
29,702684,702614,11.4,420780,sola-browser-ce
29,702689,702615,0.0,48224,sola-browser-ce
29,702699,702615,0.0,73680,sola-browser-ce
29,702701,702615,9.6,301540,sola-browser-ce
