t_s,pid,ppid,cpu_pct,rss_kib,comm
0,698550,698535,100,106836,sola-browser-ce
1,698550,698535,49.6,380508,sola-browser-ce
1,698559,698550,1.4,73788,sola-browser-ce
1,698560,698550,1.4,73580,sola-browser-ce
1,698632,698550,2.9,107460,sola-browser-ce
1,698629,698559,10.9,158404,sola-browser-ce
1,698633,698560,0.0,46648,sola-browser-ce
1,698646,698560,0.7,72756,sola-browser-ce
1,698650,698560,1.4,94608,sola-browser-ce
3,698550,698535,35.0,438168,sola-browser-ce
3,698559,698550,0.6,73788,sola-browser-ce
3,698560,698550,0.6,73580,sola-browser-ce
3,698632,698550,11.1,116252,sola-browser-ce
3,698629,698559,12.3,376412,sola-browser-ce
3,698633,698560,0.3,48132,sola-browser-ce
3,698646,698560,3.0,124796,sola-browser-ce
3,698650,698560,45.4,428680,sola-browser-ce
3,698849,698560,0.9,73180,sola-browser-ce
4,698550,698535,24.5,446036,sola-browser-ce
4,698559,698550,0.4,73788,sola-browser-ce
4,698560,698550,0.4,73580,sola-browser-ce
4,698632,698550,7.1,116576,sola-browser-ce
4,698629,698559,8.4,345824,sola-browser-ce
4,698633,698560,0.2,48132,sola-browser-ce
4,698646,698560,1.9,124800,sola-browser-ce
4,698650,698560,30.6,394496,sola-browser-ce
4,698849,698560,0.3,73180,sola-browser-ce
6,698550,698535,18.3,446104,sola-browser-ce
6,698559,698550,0.3,73788,sola-browser-ce
6,698560,698550,0.3,73580,sola-browser-ce
6,698632,698550,5.3,116576,sola-browser-ce
6,698629,698559,6.2,345824,sola-browser-ce
6,698633,698560,0.1,48132,sola-browser-ce
6,698646,698560,1.4,124800,sola-browser-ce
6,698650,698560,23.2,394548,sola-browser-ce
6,698849,698560,0.2,73180,sola-browser-ce
8,698550,698535,14.9,446104,sola-browser-ce
8,698559,698550,0.2,73788,sola-browser-ce
8,698560,698550,0.2,73580,sola-browser-ce
8,698632,698550,4.2,116576,sola-browser-ce
8,698629,698559,4.9,345828,sola-browser-ce
8,698633,698560,0.1,48268,sola-browser-ce
8,698646,698560,1.1,124800,sola-browser-ce
8,698650,698560,18.8,394612,sola-browser-ce
8,698849,698560,0.1,73180,sola-browser-ce
9,698550,698535,12.4,446104,sola-browser-ce
9,698559,698550,0.2,73788,sola-browser-ce
9,698560,698550,0.2,73580,sola-browser-ce
9,698632,698550,3.5,116576,sola-browser-ce
9,698629,698559,4.3,345828,sola-browser-ce
9,698633,698560,0.1,48268,sola-browser-ce
9,698646,698560,0.9,124800,sola-browser-ce
9,698650,698560,15.8,394636,sola-browser-ce
9,698849,698560,0.1,73180,sola-browser-ce
11,698550,698535,10.7,446204,sola-browser-ce
11,698559,698550,0.1,73788,sola-browser-ce
11,698560,698550,0.1,73580,sola-browser-ce
11,698632,698550,3.0,116580,sola-browser-ce
11,698629,698559,3.6,345828,sola-browser-ce
11,698633,698560,0.0,48336,sola-browser-ce
11,698646,698560,0.8,124808,sola-browser-ce
11,698650,698560,13.7,394836,sola-browser-ce
11,698849,698560,0.1,73180,sola-browser-ce
12,698550,698535,9.6,446204,sola-browser-ce
12,698559,698550,0.1,73788,sola-browser-ce
12,698560,698550,0.1,73580,sola-browser-ce
12,698632,698550,2.6,116580,sola-browser-ce
12,698629,698559,3.2,345828,sola-browser-ce
12,698633,698560,0.0,48336,sola-browser-ce
12,698646,698560,0.7,124808,sola-browser-ce
12,698650,698560,12.1,395304,sola-browser-ce
12,698849,698560,0.0,73192,sola-browser-ce
14,698550,698535,8.6,446204,sola-browser-ce
14,698559,698550,0.1,73788,sola-browser-ce
14,698560,698550,0.1,73580,sola-browser-ce
14,698632,698550,2.3,116580,sola-browser-ce
14,698629,698559,2.8,345828,sola-browser-ce
14,698633,698560,0.0,48336,sola-browser-ce
14,698646,698560,0.6,124808,sola-browser-ce
14,698650,698560,11.0,395776,sola-browser-ce
14,698849,698560,0.0,73192,sola-browser-ce
16,698550,698535,7.8,446300,sola-browser-ce
16,698559,698550,0.1,73788,sola-browser-ce
16,698560,698550,0.1,73580,sola-browser-ce
16,698632,698550,2.1,116580,sola-browser-ce
16,698629,698559,2.6,345832,sola-browser-ce
16,698633,698560,0.0,48336,sola-browser-ce
16,698646,698560,0.5,124808,sola-browser-ce
16,698650,698560,10.1,396240,sola-browser-ce
16,698849,698560,0.0,73192,sola-browser-ce
17,698550,698535,7.2,446300,sola-browser-ce
17,698559,698550,0.1,73788,sola-browser-ce
17,698560,698550,0.1,73580,sola-browser-ce
17,698632,698550,1.9,116580,sola-browser-ce
17,698629,698559,2.4,345832,sola-browser-ce
17,698633,698560,0.0,48336,sola-browser-ce
17,698646,698560,0.5,124808,sola-browser-ce
17,698650,698560,9.3,396712,sola-browser-ce
17,698849,698560,0.0,73192,sola-browser-ce
19,698550,698535,6.6,446300,sola-browser-ce
19,698559,698550,0.1,73788,sola-browser-ce
19,698560,698550,0.1,73580,sola-browser-ce
19,698632,698550,1.7,116580,sola-browser-ce
19,698629,698559,2.2,345832,sola-browser-ce
19,698633,698560,0.0,48336,sola-browser-ce
19,698646,698560,0.4,124808,sola-browser-ce
19,698650,698560,8.6,397172,sola-browser-ce
19,698849,698560,0.0,73192,sola-browser-ce
20,698550,698535,6.2,446300,sola-browser-ce
20,698559,698550,0.0,73788,sola-browser-ce
20,698560,698550,0.0,73580,sola-browser-ce
20,698632,698550,1.6,116580,sola-browser-ce
20,698629,698559,2.1,345832,sola-browser-ce
20,698633,698560,0.0,48336,sola-browser-ce
20,698646,698560,0.4,124808,sola-browser-ce
20,698650,698560,8.1,397628,sola-browser-ce
20,698849,698560,0.0,73192,sola-browser-ce
22,698550,698535,5.8,446300,sola-browser-ce
22,698559,698550,0.0,73788,sola-browser-ce
22,698560,698550,0.0,73580,sola-browser-ce
22,698632,698550,1.5,116580,sola-browser-ce
22,698629,698559,1.9,345832,sola-browser-ce
22,698633,698560,0.0,48336,sola-browser-ce
22,698646,698560,0.4,124808,sola-browser-ce
22,698650,698560,7.7,398088,sola-browser-ce
22,698849,698560,0.0,73192,sola-browser-ce
24,698550,698535,5.5,446300,sola-browser-ce
24,698559,698550,0.0,73788,sola-browser-ce
24,698560,698550,0.0,73580,sola-browser-ce
24,698632,698550,1.3,116580,sola-browser-ce
24,698629,698559,1.8,345832,sola-browser-ce
24,698633,698560,0.0,48336,sola-browser-ce
24,698646,698560,0.3,124808,sola-browser-ce
24,698650,698560,7.3,398540,sola-browser-ce
24,698849,698560,0.0,73192,sola-browser-ce
25,698550,698535,5.2,446300,sola-browser-ce
25,698559,698550,0.0,73788,sola-browser-ce
25,698560,698550,0.0,73580,sola-browser-ce
25,698632,698550,1.3,116580,sola-browser-ce
25,698629,698559,1.7,345832,sola-browser-ce
25,698633,698560,0.0,48336,sola-browser-ce
25,698646,698560,0.3,124808,sola-browser-ce
25,698650,698560,6.9,399020,sola-browser-ce
25,698849,698560,0.0,73192,sola-browser-ce
27,698550,698535,4.9,446300,sola-browser-ce
27,698559,698550,0.0,73788,sola-browser-ce
27,698560,698550,0.0,73580,sola-browser-ce
27,698632,698550,1.2,116580,sola-browser-ce
27,698629,698559,1.6,345832,sola-browser-ce
27,698633,698560,0.0,48336,sola-browser-ce
27,698646,698560,0.3,124808,sola-browser-ce
27,698650,698560,6.6,399488,sola-browser-ce
27,698849,698560,0.0,73192,sola-browser-ce
28,698550,698535,4.7,446300,sola-browser-ce
28,698559,698550,0.0,73788,sola-browser-ce
28,698560,698550,0.0,73580,sola-browser-ce
28,698632,698550,1.1,116580,sola-browser-ce
28,698629,698559,1.5,345832,sola-browser-ce
28,698633,698560,0.0,48336,sola-browser-ce
28,698646,698560,0.3,124808,sola-browser-ce
28,698650,698560,6.3,399948,sola-browser-ce
28,698849,698560,0.0,73192,sola-browser-ce
