t_s,pid,ppid,cpu_pct,rss_kib,comm
0,707382,707346,100,98500,sola-browser-ce
1,707382,707346,54.3,382024,sola-browser-ce
1,707391,707382,1.4,77512,sola-browser-ce
1,707392,707382,1.4,77412,sola-browser-ce
1,707464,707382,4.4,108124,sola-browser-ce
1,707461,707391,13.8,159120,sola-browser-ce
1,707465,707392,0.0,48024,sola-browser-ce
1,707476,707392,0.7,73764,sola-browser-ce
1,707478,707392,3.5,113420,sola-browser-ce
3,707382,707346,30.9,426188,sola-browser-ce
3,707391,707382,0.6,77512,sola-browser-ce
3,707392,707382,1.0,77412,sola-browser-ce
3,707464,707382,13.0,112076,sola-browser-ce
3,707461,707391,19.6,377724,sola-browser-ce
3,707465,707392,0.0,48024,sola-browser-ce
3,707476,707392,0.3,73896,sola-browser-ce
3,707478,707392,17.3,180068,sola-browser-ce
3,707618,707392,0.0,37404,sola-browser-ce
4,707382,707346,25.4,426400,sola-browser-ce
4,707391,707382,0.4,77512,sola-browser-ce
4,707392,707382,0.6,77412,sola-browser-ce
4,707464,707382,8.8,111692,sola-browser-ce
4,707461,707391,16.4,404872,sola-browser-ce
4,707465,707392,0.0,48024,sola-browser-ce
4,707476,707392,0.2,73896,sola-browser-ce
4,707478,707392,15.4,170704,sola-browser-ce
4,707618,707392,0.0,37404,sola-browser-ce
6,707382,707346,23.9,440012,sola-browser-ce
6,707391,707382,0.3,77512,sola-browser-ce
6,707392,707382,0.4,77412,sola-browser-ce
6,707464,707382,6.5,112080,sola-browser-ce
6,707461,707391,14.4,404896,sola-browser-ce
6,707465,707392,0.0,48024,sola-browser-ce
6,707476,707392,0.1,73896,sola-browser-ce
6,707478,707392,13.0,166520,sola-browser-ce
6,707618,707392,0.0,37404,sola-browser-ce
7,707382,707346,21.8,439980,sola-browser-ce
7,707391,707382,0.2,77512,sola-browser-ce
7,707392,707382,0.3,77412,sola-browser-ce
7,707464,707382,5.1,112080,sola-browser-ce
7,707461,707391,13.2,404640,sola-browser-ce
7,707465,707392,0.0,48024,sola-browser-ce
7,707476,707392,0.1,73896,sola-browser-ce
7,707478,707392,11.4,166788,sola-browser-ce
7,707618,707392,0.0,37404,sola-browser-ce
9,707382,707346,20.3,440104,sola-browser-ce
9,707391,707382,0.2,77512,sola-browser-ce
9,707392,707382,0.3,77412,sola-browser-ce
9,707464,707382,4.2,112080,sola-browser-ce
9,707461,707391,12.5,404648,sola-browser-ce
9,707465,707392,0.0,48024,sola-browser-ce
9,707476,707392,0.1,73896,sola-browser-ce
9,707478,707392,10.2,166876,sola-browser-ce
9,707618,707392,0.0,37404,sola-browser-ce
11,707382,707346,19.4,440184,sola-browser-ce
11,707391,707382,0.1,77512,sola-browser-ce
11,707392,707382,0.2,77412,sola-browser-ce
11,707464,707382,3.6,112084,sola-browser-ce
11,707461,707391,12.0,404660,sola-browser-ce
11,707465,707392,0.0,48096,sola-browser-ce
11,707476,707392,0.0,73904,sola-browser-ce
11,707478,707392,9.5,167012,sola-browser-ce
11,707618,707392,0.0,37404,sola-browser-ce
12,707382,707346,18.8,440204,sola-browser-ce
12,707391,707382,0.1,77512,sola-browser-ce
12,707392,707382,0.2,77412,sola-browser-ce
12,707464,707382,3.1,112084,sola-browser-ce
12,707461,707391,11.5,404672,sola-browser-ce
12,707465,707392,0.0,48096,sola-browser-ce
12,707476,707392,0.0,73904,sola-browser-ce
12,707478,707392,8.8,167088,sola-browser-ce
12,707618,707392,0.0,37536,sola-browser-ce
14,707382,707346,18.2,440216,sola-browser-ce
14,707391,707382,0.1,77512,sola-browser-ce
14,707392,707382,0.2,77412,sola-browser-ce
14,707464,707382,2.8,112084,sola-browser-ce
14,707461,707391,11.3,404676,sola-browser-ce
14,707465,707392,0.0,48096,sola-browser-ce
14,707476,707392,0.0,73904,sola-browser-ce
14,707478,707392,8.4,162768,sola-browser-ce
14,707618,707392,0.0,37536,sola-browser-ce
15,707382,707346,17.7,440332,sola-browser-ce
15,707391,707382,0.1,77512,sola-browser-ce
15,707392,707382,0.1,77412,sola-browser-ce
15,707464,707382,2.5,112084,sola-browser-ce
15,707461,707391,11.1,404680,sola-browser-ce
15,707465,707392,0.0,48096,sola-browser-ce
15,707476,707392,0.0,73904,sola-browser-ce
15,707478,707392,8.3,166160,sola-browser-ce
15,707618,707392,0.0,37536,sola-browser-ce
17,707382,707346,17.4,440352,sola-browser-ce
17,707391,707382,0.1,77512,sola-browser-ce
17,707392,707382,0.1,77412,sola-browser-ce
17,707464,707382,2.3,112084,sola-browser-ce
17,707461,707391,10.8,404688,sola-browser-ce
17,707465,707392,0.0,48096,sola-browser-ce
17,707476,707392,0.0,73904,sola-browser-ce
17,707478,707392,8.0,166884,sola-browser-ce
17,707618,707392,0.0,37536,sola-browser-ce
19,707382,707346,17.1,440368,sola-browser-ce
19,707391,707382,0.1,77512,sola-browser-ce
19,707392,707382,0.1,77412,sola-browser-ce
19,707464,707382,2.1,112084,sola-browser-ce
19,707461,707391,10.7,404692,sola-browser-ce
19,707465,707392,0.0,48096,sola-browser-ce
19,707476,707392,0.0,73904,sola-browser-ce
19,707478,707392,7.7,167464,sola-browser-ce
19,707618,707392,0.0,37536,sola-browser-ce
20,707382,707346,16.8,440384,sola-browser-ce
20,707391,707382,0.0,77512,sola-browser-ce
20,707392,707382,0.1,77412,sola-browser-ce
20,707464,707382,1.9,112084,sola-browser-ce
20,707461,707391,10.6,404696,sola-browser-ce
20,707465,707392,0.0,48096,sola-browser-ce
20,707476,707392,0.0,73904,sola-browser-ce
20,707478,707392,7.5,167696,sola-browser-ce
20,707618,707392,0.0,37536,sola-browser-ce
22,707382,707346,16.6,440396,sola-browser-ce
22,707391,707382,0.0,77512,sola-browser-ce
22,707392,707382,0.1,77412,sola-browser-ce
22,707464,707382,1.8,112084,sola-browser-ce
22,707461,707391,10.4,404696,sola-browser-ce
22,707465,707392,0.0,48096,sola-browser-ce
22,707476,707392,0.0,73904,sola-browser-ce
22,707478,707392,7.2,167912,sola-browser-ce
22,707618,707392,0.0,37536,sola-browser-ce
23,707382,707346,16.3,440408,sola-browser-ce
23,707391,707382,0.0,77512,sola-browser-ce
23,707392,707382,0.1,77412,sola-browser-ce
23,707464,707382,1.6,112084,sola-browser-ce
23,707461,707391,10.2,404700,sola-browser-ce
23,707465,707392,0.0,48096,sola-browser-ce
23,707476,707392,0.0,73904,sola-browser-ce
23,707478,707392,7.0,168080,sola-browser-ce
23,707618,707392,0.0,37536,sola-browser-ce
25,707382,707346,16.2,440412,sola-browser-ce
25,707391,707382,0.0,77512,sola-browser-ce
25,707392,707382,0.1,77412,sola-browser-ce
25,707464,707382,1.5,112084,sola-browser-ce
25,707461,707391,10.1,404700,sola-browser-ce
25,707465,707392,0.0,48096,sola-browser-ce
25,707476,707392,0.0,73904,sola-browser-ce
25,707478,707392,6.8,168348,sola-browser-ce
25,707618,707392,0.0,37536,sola-browser-ce
27,707382,707346,16.0,440416,sola-browser-ce
27,707391,707382,0.0,77512,sola-browser-ce
27,707392,707382,0.1,77412,sola-browser-ce
27,707464,707382,1.4,112084,sola-browser-ce
27,707461,707391,10.0,404700,sola-browser-ce
27,707465,707392,0.0,48096,sola-browser-ce
27,707476,707392,0.0,73904,sola-browser-ce
27,707478,707392,6.7,168652,sola-browser-ce
27,707618,707392,0.0,37536,sola-browser-ce
28,707382,707346,15.9,440424,sola-browser-ce
28,707391,707382,0.0,77512,sola-browser-ce
28,707392,707382,0.1,77412,sola-browser-ce
28,707464,707382,1.3,112084,sola-browser-ce
28,707461,707391,9.9,404704,sola-browser-ce
28,707465,707392,0.0,48096,sola-browser-ce
28,707476,707392,0.0,73904,sola-browser-ce
28,707478,707392,6.5,168912,sola-browser-ce
28,707618,707392,0.0,37536,sola-browser-ce
