t_s,pid,ppid,cpu_pct,rss_kib,comm
0,692168,692153,75.0,68628,sola-browser-wp
1,692168,692153,33.3,224384,sola-browser-wp
1,692180,692168,1.4,46848,WPENetworkProce
1,692184,692168,0.0,2280,bwrap
1,692193,692168,0.0,2284,bwrap
1,692185,692184,0.0,1656,bwrap
1,692195,692193,0.0,1672,bwrap
1,692190,692185,0.0,6104,xdg-dbus-proxy
1,692232,692195,26.9,176212,WPEWebProcess
3,692168,692153,15.9,224384,sola-browser-wp
3,692180,692168,0.6,46848,WPENetworkProce
3,692184,692168,0.0,2280,bwrap
3,692193,692168,0.0,2284,bwrap
3,692185,692184,0.0,1656,bwrap
3,692195,692193,0.0,1672,bwrap
3,692190,692185,0.0,6104,xdg-dbus-proxy
3,692232,692195,13.5,176212,WPEWebProcess
4,692168,692153,10.5,224384,sola-browser-wp
4,692180,692168,0.4,46848,WPENetworkProce
4,692184,692168,0.0,2280,bwrap
4,692193,692168,0.0,2284,bwrap
4,692185,692184,0.0,1656,bwrap
4,692195,692193,0.0,1672,bwrap
4,692190,692185,0.0,6104,xdg-dbus-proxy
4,692232,692195,9.0,176132,WPEWebProcess
6,692168,692153,7.9,224472,sola-browser-wp
6,692180,692168,0.3,46848,WPENetworkProce
6,692184,692168,0.0,2280,bwrap
6,692193,692168,0.0,2284,bwrap
6,692185,692184,0.0,1656,bwrap
6,692195,692193,0.0,1672,bwrap
6,692190,692185,0.0,6104,xdg-dbus-proxy
6,692232,692195,6.7,176132,WPEWebProcess
7,692168,692153,6.4,224472,sola-browser-wp
7,692180,692168,0.2,46848,WPENetworkProce
7,692184,692168,0.0,2280,bwrap
7,692193,692168,0.0,2284,bwrap
7,692185,692184,0.0,1656,bwrap
7,692195,692193,0.0,1672,bwrap
7,692190,692185,0.0,6104,xdg-dbus-proxy
7,692232,692195,5.4,176132,WPEWebProcess
9,692168,692153,5.3,224472,sola-browser-wp
9,692180,692168,0.2,46848,WPENetworkProce
9,692184,692168,0.0,2280,bwrap
9,692193,692168,0.0,2284,bwrap
9,692185,692184,0.0,1656,bwrap
9,692195,692193,0.0,1672,bwrap
9,692190,692185,0.0,6104,xdg-dbus-proxy
9,692232,692195,4.5,176132,WPEWebProcess
10,692168,692153,4.5,224472,sola-browser-wp
10,692180,692168,0.1,46848,WPENetworkProce
10,692184,692168,0.0,2280,bwrap
10,692193,692168,0.0,2284,bwrap
10,692185,692184,0.0,1656,bwrap
10,692195,692193,0.0,1672,bwrap
10,692190,692185,0.0,6104,xdg-dbus-proxy
10,692232,692195,3.8,176132,WPEWebProcess
12,692168,692153,3.9,224472,sola-browser-wp
12,692180,692168,0.1,46976,WPENetworkProce
12,692184,692168,0.0,2280,bwrap
12,692193,692168,0.0,2284,bwrap
12,692185,692184,0.0,1656,bwrap
12,692195,692193,0.0,1672,bwrap
12,692190,692185,0.0,6104,xdg-dbus-proxy
12,692232,692195,3.3,176260,WPEWebProcess
14,692168,692153,3.6,224472,sola-browser-wp
14,692180,692168,0.1,46976,WPENetworkProce
14,692184,692168,0.0,2280,bwrap
14,692193,692168,0.0,2284,bwrap
14,692185,692184,0.0,1656,bwrap
14,692195,692193,0.0,1672,bwrap
14,692190,692185,0.0,6104,xdg-dbus-proxy
14,692232,692195,2.9,176260,WPEWebProcess
15,692168,692153,3.2,224472,sola-browser-wp
15,692180,692168,0.1,46976,WPENetworkProce
15,692184,692168,0.0,2280,bwrap
15,692193,692168,0.0,2284,bwrap
15,692185,692184,0.0,1656,bwrap
15,692195,692193,0.0,1672,bwrap
15,692190,692185,0.0,6104,xdg-dbus-proxy
15,692232,692195,2.6,176260,WPEWebProcess
17,692168,692153,2.9,224472,sola-browser-wp
17,692180,692168,0.1,46976,WPENetworkProce
17,692184,692168,0.0,2280,bwrap
17,692193,692168,0.0,2284,bwrap
17,692185,692184,0.0,1656,bwrap
17,692195,692193,0.0,1672,bwrap
17,692190,692185,0.0,6232,xdg-dbus-proxy
17,692232,692195,2.4,176260,WPEWebProcess
18,692168,692153,2.8,224472,sola-browser-wp
18,692180,692168,0.1,46976,WPENetworkProce
18,692184,692168,0.0,2280,bwrap
18,692193,692168,0.0,2284,bwrap
18,692185,692184,0.0,1656,bwrap
18,692195,692193,0.0,1672,bwrap
18,692190,692185,0.0,6232,xdg-dbus-proxy
18,692232,692195,2.2,176260,WPEWebProcess
20,692168,692153,2.5,224472,sola-browser-wp
20,692180,692168,0.1,46976,WPENetworkProce
20,692184,692168,0.0,2280,bwrap
20,692193,692168,0.0,2284,bwrap
20,692185,692184,0.0,1656,bwrap
20,692195,692193,0.0,1672,bwrap
20,692190,692185,0.0,6232,xdg-dbus-proxy
20,692232,692195,2.0,176260,WPEWebProcess
21,692168,692153,2.4,224476,sola-browser-wp
21,692180,692168,0.0,46976,WPENetworkProce
21,692184,692168,0.0,2280,bwrap
21,692193,692168,0.0,2284,bwrap
21,692185,692184,0.0,1656,bwrap
21,692195,692193,0.0,1672,bwrap
21,692190,692185,0.0,6232,xdg-dbus-proxy
21,692232,692195,1.9,176260,WPEWebProcess
23,692168,692153,2.2,224476,sola-browser-wp
23,692180,692168,0.0,46976,WPENetworkProce
23,692184,692168,0.0,2280,bwrap
23,692193,692168,0.0,2284,bwrap
23,692185,692184,0.0,1656,bwrap
23,692195,692193,0.0,1672,bwrap
23,692190,692185,0.0,6232,xdg-dbus-proxy
23,692232,692195,1.7,176260,WPEWebProcess
24,692168,692153,2.1,224476,sola-browser-wp
24,692180,692168,0.0,46976,WPENetworkProce
24,692184,692168,0.0,2280,bwrap
24,692193,692168,0.0,2284,bwrap
24,692185,692184,0.0,1656,bwrap
24,692195,692193,0.0,1672,bwrap
24,692190,692185,0.0,6232,xdg-dbus-proxy
24,692232,692195,1.6,176260,WPEWebProcess
26,692168,692153,2.0,224476,sola-browser-wp
26,692180,692168,0.0,46976,WPENetworkProce
26,692184,692168,0.0,2280,bwrap
26,692193,692168,0.0,2284,bwrap
26,692185,692184,0.0,1656,bwrap
26,692195,692193,0.0,1672,bwrap
26,692190,692185,0.0,6232,xdg-dbus-proxy
26,692232,692195,1.5,176260,WPEWebProcess
27,692168,692153,1.8,224476,sola-browser-wp
27,692180,692168,0.0,46976,WPENetworkProce
27,692184,692168,0.0,2280,bwrap
27,692193,692168,0.0,2284,bwrap
27,692185,692184,0.0,1656,bwrap
27,692195,692193,0.0,1672,bwrap
27,692190,692185,0.0,6232,xdg-dbus-proxy
27,692232,692195,1.4,176260,WPEWebProcess
29,692168,692153,1.8,224476,sola-browser-wp
29,692180,692168,0.0,46976,WPENetworkProce
29,692184,692168,0.0,2280,bwrap
29,692193,692168,0.0,2284,bwrap
29,692185,692184,0.0,1656,bwrap
29,692195,692193,0.0,1672,bwrap
29,692190,692185,0.0,6232,xdg-dbus-proxy
29,692232,692195,1.4,176260,WPEWebProcess
