t_s,pid,ppid,cpu_pct,rss_kib,comm
0,700609,700594,100,68988,sola-browser-wp
1,700609,700594,30.6,228072,sola-browser-wp
1,700621,700609,18.3,108944,WPENetworkProce
1,700625,700609,0.0,2272,bwrap
1,700637,700609,0.0,2300,bwrap
1,700626,700625,0.0,1660,bwrap
1,700639,700637,0.0,1668,bwrap
1,700631,700626,0.0,6100,xdg-dbus-proxy
1,700685,700639,16.0,173436,WPEWebProcess
3,700609,700594,14.5,228072,sola-browser-wp
3,700621,700609,9.0,107420,WPENetworkProce
3,700625,700609,0.0,2272,bwrap
3,700637,700609,0.0,2300,bwrap
3,700626,700625,0.0,1660,bwrap
3,700639,700637,0.0,1668,bwrap
3,700631,700626,0.0,6100,xdg-dbus-proxy
3,700685,700639,7.9,173008,WPEWebProcess
4,700609,700594,9.5,228072,sola-browser-wp
4,700621,700609,5.9,107420,WPENetworkProce
4,700625,700609,0.0,2272,bwrap
4,700637,700609,0.0,2300,bwrap
4,700626,700625,0.0,1660,bwrap
4,700639,700637,0.0,1668,bwrap
4,700631,700626,0.0,6100,xdg-dbus-proxy
4,700685,700639,5.2,173008,WPEWebProcess
6,700609,700594,7.0,228160,sola-browser-wp
6,700621,700609,4.3,107532,WPENetworkProce
6,700625,700609,0.0,2272,bwrap
6,700637,700609,0.0,2300,bwrap
6,700626,700625,0.0,1660,bwrap
6,700639,700637,0.0,1668,bwrap
6,700631,700626,0.0,6100,xdg-dbus-proxy
6,700685,700639,3.9,173008,WPEWebProcess
8,700609,700594,5.6,228160,sola-browser-wp
8,700621,700609,3.4,107324,WPENetworkProce
8,700625,700609,0.0,2272,bwrap
8,700637,700609,0.0,2300,bwrap
8,700626,700625,0.0,1660,bwrap
8,700639,700637,0.0,1668,bwrap
8,700631,700626,0.0,6100,xdg-dbus-proxy
8,700685,700639,3.1,173008,WPEWebProcess
9,700609,700594,4.7,228160,sola-browser-wp
9,700621,700609,2.8,107324,WPENetworkProce
9,700625,700609,0.0,2272,bwrap
9,700637,700609,0.0,2300,bwrap
9,700626,700625,0.0,1660,bwrap
9,700639,700637,0.0,1668,bwrap
9,700631,700626,0.0,6100,xdg-dbus-proxy
9,700685,700639,2.6,173008,WPEWebProcess
11,700609,700594,4.0,228160,sola-browser-wp
11,700621,700609,2.4,107324,WPENetworkProce
11,700625,700609,0.0,2272,bwrap
11,700637,700609,0.0,2300,bwrap
11,700626,700625,0.0,1660,bwrap
11,700639,700637,0.0,1668,bwrap
11,700631,700626,0.0,6100,xdg-dbus-proxy
11,700685,700639,2.2,173008,WPEWebProcess
12,700609,700594,3.5,228160,sola-browser-wp
12,700621,700609,2.1,107324,WPENetworkProce
12,700625,700609,0.0,2272,bwrap
12,700637,700609,0.0,2300,bwrap
12,700626,700625,0.0,1660,bwrap
12,700639,700637,0.0,1668,bwrap
12,700631,700626,0.0,6100,xdg-dbus-proxy
12,700685,700639,1.9,173136,WPEWebProcess
14,700609,700594,3.2,228160,sola-browser-wp
14,700621,700609,1.9,107324,WPENetworkProce
14,700625,700609,0.0,2272,bwrap
14,700637,700609,0.0,2300,bwrap
14,700626,700625,0.0,1660,bwrap
14,700639,700637,0.0,1668,bwrap
14,700631,700626,0.0,6100,xdg-dbus-proxy
14,700685,700639,1.7,173136,WPEWebProcess
15,700609,700594,2.9,228160,sola-browser-wp
15,700621,700609,1.7,107860,WPENetworkProce
15,700625,700609,0.0,2272,bwrap
15,700637,700609,0.0,2300,bwrap
15,700626,700625,0.0,1660,bwrap
15,700639,700637,0.0,1668,bwrap
15,700631,700626,0.0,6100,xdg-dbus-proxy
15,700685,700639,1.5,173284,WPEWebProcess
17,700609,700594,2.7,228160,sola-browser-wp
17,700621,700609,1.6,107660,WPENetworkProce
17,700625,700609,0.0,2272,bwrap
17,700637,700609,0.0,2300,bwrap
17,700626,700625,0.0,1660,bwrap
17,700639,700637,0.0,1668,bwrap
17,700631,700626,0.0,6228,xdg-dbus-proxy
17,700685,700639,1.4,173228,WPEWebProcess
18,700609,700594,2.5,228160,sola-browser-wp
18,700621,700609,1.4,107660,WPENetworkProce
18,700625,700609,0.0,2272,bwrap
18,700637,700609,0.0,2300,bwrap
18,700626,700625,0.0,1660,bwrap
18,700639,700637,0.0,1668,bwrap
18,700631,700626,0.0,6228,xdg-dbus-proxy
18,700685,700639,1.3,173228,WPEWebProcess
20,700609,700594,2.3,228160,sola-browser-wp
20,700621,700609,1.3,107660,WPENetworkProce
20,700625,700609,0.0,2272,bwrap
20,700637,700609,0.0,2300,bwrap
20,700626,700625,0.0,1660,bwrap
20,700639,700637,0.0,1668,bwrap
20,700631,700626,0.0,6228,xdg-dbus-proxy
20,700685,700639,1.2,173228,WPEWebProcess
21,700609,700594,2.1,228160,sola-browser-wp
21,700621,700609,1.2,107660,WPENetworkProce
21,700625,700609,0.0,2272,bwrap
21,700637,700609,0.0,2300,bwrap
21,700626,700625,0.0,1660,bwrap
21,700639,700637,0.0,1668,bwrap
21,700631,700626,0.0,6228,xdg-dbus-proxy
