t_s,pid,ppid,cpu_pct,rss_kib,comm
0,696121,696106,100,68804,sola-browser-wp
1,696121,696106,36.4,228412,sola-browser-wp
1,696133,696121,24.0,120592,WPENetworkProce
1,696137,696121,0.0,2284,bwrap
1,696146,696121,0.0,2292,bwrap
1,696138,696137,0.0,1652,bwrap
1,696148,696146,0.0,1668,bwrap
1,696143,696138,0.0,6104,xdg-dbus-proxy
1,696185,696148,69.9,468752,WPEWebProcess
3,696121,696106,29.5,231164,sola-browser-wp
3,696133,696121,23.7,118088,WPENetworkProce
3,696137,696121,0.0,2284,bwrap
3,696146,696121,0.0,2292,bwrap
3,696138,696137,0.0,1652,bwrap
3,696148,696146,0.0,1668,bwrap
3,696143,696138,0.0,6104,xdg-dbus-proxy
3,696185,696148,99.6,884928,WPEWebProcess
4,696121,696106,26.8,231088,sola-browser-wp
4,696133,696121,15.7,113400,WPENetworkProce
4,696137,696121,0.0,2284,bwrap
4,696146,696121,0.0,2292,bwrap
4,696138,696137,0.0,1652,bwrap
4,696148,696146,0.0,1668,bwrap
4,696143,696138,0.0,6104,xdg-dbus-proxy
4,696185,696148,69.4,884668,WPEWebProcess
6,696121,696106,25.3,231184,sola-browser-wp
6,696133,696121,11.7,113400,WPENetworkProce
6,696137,696121,0.0,2284,bwrap
6,696146,696121,0.0,2292,bwrap
6,696138,696137,0.0,1652,bwrap
6,696148,696146,0.0,1668,bwrap
6,696143,696138,0.0,6104,xdg-dbus-proxy
6,696185,696148,54.0,884184,WPEWebProcess
7,696121,696106,24.9,231184,sola-browser-wp
7,696133,696121,9.3,110572,WPENetworkProce
7,696137,696121,0.0,2284,bwrap
7,696146,696121,0.0,2292,bwrap
7,696138,696137,0.0,1652,bwrap
7,696148,696146,0.0,1668,bwrap
7,696143,696138,0.0,6104,xdg-dbus-proxy
7,696185,696148,45.1,884152,WPEWebProcess
9,696121,696106,24.3,231188,sola-browser-wp
9,696133,696121,7.7,110368,WPENetworkProce
9,696137,696121,0.0,2284,bwrap
9,696146,696121,0.0,2292,bwrap
9,696138,696137,0.0,1652,bwrap
9,696148,696146,0.0,1668,bwrap
9,696143,696138,0.0,6104,xdg-dbus-proxy
9,696185,696148,38.5,883904,WPEWebProcess
11,696121,696106,24.1,231188,sola-browser-wp
11,696133,696121,6.6,110368,WPENetworkProce
11,696137,696121,0.0,2284,bwrap
11,696146,696121,0.0,2292,bwrap
11,696138,696137,0.0,1652,bwrap
11,696148,696146,0.0,1668,bwrap
11,696143,696138,0.0,6104,xdg-dbus-proxy
11,696185,696148,33.8,883904,WPEWebProcess
12,696121,696106,23.8,231188,sola-browser-wp
12,696133,696121,5.7,110048,WPENetworkProce
12,696137,696121,0.0,2284,bwrap
12,696146,696121,0.0,2292,bwrap
12,696138,696137,0.0,1652,bwrap
12,696148,696146,0.0,1668,bwrap
12,696143,696138,0.0,6104,xdg-dbus-proxy
12,696185,696148,30.3,883300,WPEWebProcess
14,696121,696106,23.6,231192,sola-browser-wp
14,696133,696121,5.1,109992,WPENetworkProce
14,696137,696121,0.0,2284,bwrap
14,696146,696121,0.0,2292,bwrap
14,696138,696137,0.0,1652,bwrap
14,696148,696146,0.0,1668,bwrap
14,696143,696138,0.0,6104,xdg-dbus-proxy
14,696185,696148,27.6,882420,WPEWebProcess
15,696121,696106,23.4,231192,sola-browser-wp
15,696133,696121,4.5,109992,WPENetworkProce
15,696137,696121,0.0,2284,bwrap
15,696146,696121,0.0,2292,bwrap
15,696138,696137,0.0,1652,bwrap
15,696148,696146,0.0,1668,bwrap
15,696143,696138,0.0,6104,xdg-dbus-proxy
15,696185,696148,25.2,882092,WPEWebProcess
17,696121,696106,23.4,231192,sola-browser-wp
17,696133,696121,4.1,109992,WPENetworkProce
17,696137,696121,0.0,2284,bwrap
17,696146,696121,0.0,2292,bwrap
17,696138,696137,0.0,1652,bwrap
17,696148,696146,0.0,1668,bwrap
17,696143,696138,0.0,6232,xdg-dbus-proxy
17,696185,696148,23.5,882116,WPEWebProcess
18,696121,696106,23.3,231192,sola-browser-wp
18,696133,696121,3.8,109880,WPENetworkProce
18,696137,696121,0.0,2284,bwrap
18,696146,696121,0.0,2292,bwrap
18,696138,696137,0.0,1652,bwrap
18,696148,696146,0.0,1668,bwrap
18,696143,696138,0.0,6232,xdg-dbus-proxy
18,696185,696148,22.1,880860,WPEWebProcess
20,696121,696106,23.3,231192,sola-browser-wp
20,696133,696121,3.5,109880,WPENetworkProce
20,696137,696121,0.0,2284,bwrap
20,696146,696121,0.0,2292,bwrap
20,696138,696137,0.0,1652,bwrap
20,696148,696146,0.0,1668,bwrap
20,696143,696138,0.0,6232,xdg-dbus-proxy
20,696185,696148,20.8,880940,WPEWebProcess
21,696121,696106,23.2,231192,sola-browser-wp
21,696133,696121,3.2,109880,WPENetworkProce
21,696137,696121,0.0,2284,bwrap
21,696146,696121,0.0,2292,bwrap
21,696138,696137,0.0,1652,bwrap
21,696148,696146,0.0,1668,bwrap
21,696143,696138,0.0,6232,xdg-dbus-proxy
21,696185,696148,19.7,880960,WPEWebProcess
23,696121,696106,23.2,231192,sola-browser-wp
23,696133,696121,3.0,109864,WPENetworkProce
23,696137,696121,0.0,2284,bwrap
23,696146,696121,0.0,2292,bwrap
23,696138,696137,0.0,1652,bwrap
23,696148,696146,0.0,1668,bwrap
23,696143,696138,0.0,6232,xdg-dbus-proxy
23,696185,696148,18.7,880972,WPEWebProcess
