t_s,pid,ppid,cpu_pct,rss_kib,comm
0,704972,704957,75.0,68676,sola-browser-wp
1,704972,704957,33.3,227832,sola-browser-wp
1,704984,704972,15.9,101336,WPENetworkProce
1,704988,704972,0.0,2276,bwrap
1,704997,704972,0.0,2288,bwrap
1,704989,704988,0.0,1656,bwrap
1,704999,704997,0.0,1664,bwrap
1,704993,704989,0.0,6168,xdg-dbus-proxy
1,705037,704999,19.0,187776,WPEWebProcess
3,704972,704957,17.9,228568,sola-browser-wp
3,704984,704972,13.8,118732,WPENetworkProce
3,704988,704972,0.0,2276,bwrap
3,704997,704972,0.0,2288,bwrap
3,704989,704988,0.0,1656,bwrap
3,704999,704997,0.0,1664,bwrap
3,704993,704989,0.0,6168,xdg-dbus-proxy
3,705037,704999,42.1,437976,WPEWebProcess
4,704972,704957,14.7,230348,sola-browser-wp
4,704984,704972,10.4,103280,WPENetworkProce
4,704988,704972,0.0,2276,bwrap
4,704997,704972,0.0,2288,bwrap
4,704989,704988,0.0,1656,bwrap
4,704999,704997,0.0,1664,bwrap
4,704993,704989,0.0,6168,xdg-dbus-proxy
4,705037,704999,41.3,477784,WPEWebProcess
6,704972,704957,14.1,230568,sola-browser-wp
6,704984,704972,7.7,103280,WPENetworkProce
6,704988,704972,0.0,2276,bwrap
6,704997,704972,0.0,2288,bwrap
6,704989,704988,0.0,1656,bwrap
6,704999,704997,0.0,1664,bwrap
6,704993,704989,0.0,6168,xdg-dbus-proxy
6,705037,704999,34.3,478844,WPEWebProcess
7,704972,704957,14.0,230580,sola-browser-wp
7,704984,704972,6.1,103280,WPENetworkProce
7,704988,704972,0.0,2276,bwrap
7,704997,704972,0.0,2288,bwrap
7,704989,704988,0.0,1656,bwrap
7,704999,704997,0.0,1664,bwrap
7,704993,704989,0.0,6168,xdg-dbus-proxy
7,705037,704999,29.9,478688,WPEWebProcess
9,704972,704957,13.8,230580,sola-browser-wp
9,704984,704972,5.1,101148,WPENetworkProce
9,704988,704972,0.0,2276,bwrap
9,704997,704972,0.0,2288,bwrap
9,704989,704988,0.0,1656,bwrap
9,704999,704997,0.0,1664,bwrap
9,704993,704989,0.0,6168,xdg-dbus-proxy
9,705037,704999,26.8,478716,WPEWebProcess
10,704972,704957,13.8,230592,sola-browser-wp
10,704984,704972,4.3,101132,WPENetworkProce
10,704988,704972,0.0,2276,bwrap
10,704997,704972,0.0,2288,bwrap
10,704989,704988,0.0,1656,bwrap
10,704999,704997,0.0,1664,bwrap
10,704993,704989,0.0,6168,xdg-dbus-proxy
10,705037,704999,24.7,478304,WPEWebProcess
12,704972,704957,13.8,230596,sola-browser-wp
12,704984,704972,3.8,101132,WPENetworkProce
12,704988,704972,0.0,2276,bwrap
12,704997,704972,0.0,2288,bwrap
12,704989,704988,0.0,1656,bwrap
12,704999,704997,0.0,1664,bwrap
12,704993,704989,0.0,6168,xdg-dbus-proxy
12,705037,704999,23.2,480692,WPEWebProcess
13,704972,704957,13.8,230596,sola-browser-wp
13,704984,704972,3.3,101132,WPENetworkProce
13,704988,704972,0.0,2276,bwrap
13,704997,704972,0.0,2288,bwrap
13,704989,704988,0.0,1656,bwrap
13,704999,704997,0.0,1664,bwrap
13,704993,704989,0.0,6168,xdg-dbus-proxy
13,705037,704999,21.9,478736,WPEWebProcess
15,704972,704957,13.8,230596,sola-browser-wp
15,704984,704972,3.0,101132,WPENetworkProce
15,704988,704972,0.0,2276,bwrap
15,704997,704972,0.0,2288,bwrap
15,704989,704988,0.0,1656,bwrap
15,704999,704997,0.0,1664,bwrap
15,704993,704989,0.0,6168,xdg-dbus-proxy
15,705037,704999,20.9,478708,WPEWebProcess
16,704972,704957,13.8,230600,sola-browser-wp
16,704984,704972,2.7,101196,WPENetworkProce
16,704988,704972,0.0,2276,bwrap
16,704997,704972,0.0,2288,bwrap
16,704989,704988,0.0,1656,bwrap
16,704999,704997,0.0,1664,bwrap
16,704993,704989,0.0,6296,xdg-dbus-proxy
16,705037,704999,20.0,478152,WPEWebProcess
18,704972,704957,13.7,230600,sola-browser-wp
18,704984,704972,2.5,101196,WPENetworkProce
18,704988,704972,0.0,2276,bwrap
18,704997,704972,0.0,2288,bwrap
18,704989,704988,0.0,1656,bwrap
18,704999,704997,0.0,1664,bwrap
18,704993,704989,0.0,6296,xdg-dbus-proxy
18,705037,704999,19.4,478344,WPEWebProcess
19,704972,704957,13.8,230600,sola-browser-wp
19,704984,704972,2.3,101180,WPENetworkProce
19,704988,704972,0.0,2276,bwrap
19,704997,704972,0.0,2288,bwrap
19,704989,704988,0.0,1656,bwrap
19,704999,704997,0.0,1664,bwrap
19,704993,704989,0.0,6296,xdg-dbus-proxy
19,705037,704999,18.8,477980,WPEWebProcess
21,704972,704957,13.7,230600,sola-browser-wp
21,704984,704972,2.1,101180,WPENetworkProce
21,704988,704972,0.0,2276,bwrap
21,704997,704972,0.0,2288,bwrap
21,704989,704988,0.0,1656,bwrap
21,704999,704997,0.0,1664,bwrap
21,704993,704989,0.0,6296,xdg-dbus-proxy
21,705037,704999,18.3,477960,WPEWebProcess
23,704972,704957,13.8,230620,sola-browser-wp
23,704984,704972,2.0,101180,WPENetworkProce
23,704988,704972,0.0,2276,bwrap
23,704997,704972,0.0,2288,bwrap
23,704989,704988,0.0,1656,bwrap
23,704999,704997,0.0,1664,bwrap
23,704993,704989,0.0,6296,xdg-dbus-proxy
23,705037,704999,17.8,478056,WPEWebProcess
24,704972,704957,13.8,230620,sola-browser-wp
24,704984,704972,1.8,101180,WPENetworkProce
24,704988,704972,0.0,2276,bwrap
24,704997,704972,0.0,2288,bwrap
24,704989,704988,0.0,1656,bwrap
24,704999,704997,0.0,1664,bwrap
24,704993,704989,0.0,6296,xdg-dbus-proxy
24,705037,704999,17.5,478060,WPEWebProcess
26,704972,704957,13.7,230620,sola-browser-wp
26,704984,704972,1.7,101180,WPENetworkProce
26,704988,704972,0.0,2276,bwrap
26,704997,704972,0.0,2288,bwrap
26,704989,704988,0.0,1656,bwrap
26,704999,704997,0.0,1664,bwrap
26,704993,704989,0.0,6296,xdg-dbus-proxy
26,705037,704999,17.1,478064,WPEWebProcess
27,704972,704957,13.7,230620,sola-browser-wp
27,704984,704972,1.6,101180,WPENetworkProce
27,704988,704972,0.0,2276,bwrap
27,704997,704972,0.0,2288,bwrap
27,704989,704988,0.0,1656,bwrap
27,704999,704997,0.0,1664,bwrap
27,704993,704989,0.0,6296,xdg-dbus-proxy
27,705037,704999,16.8,478068,WPEWebProcess
29,704972,704957,13.8,230620,sola-browser-wp
29,704984,704972,1.5,101180,WPENetworkProce
29,704988,704972,0.0,2276,bwrap
29,704997,704972,0.0,2288,bwrap
29,704989,704988,0.0,1656,bwrap
29,704999,704997,0.0,1664,bwrap
29,704993,704989,0.0,6296,xdg-dbus-proxy
29,705037,704999,16.5,478072,WPEWebProcess
