t_s,pid,ppid,cpu_pct,rss_kib,comm
0,717774,717760,100,94712,sola-browser-ce
1,717774,717760,53.2,392208,sola-browser-ce
1,717783,717774,1.4,73832,sola-browser-ce
1,717784,717774,1.4,73672,sola-browser-ce
1,717856,717774,2.9,106640,sola-browser-ce
1,717853,717783,13.1,221620,sola-browser-ce
1,717857,717784,0.0,46632,sola-browser-ce
1,717870,717784,0.7,73548,sola-browser-ce
1,717875,717784,1.4,104616,sola-browser-ce
2,717774,717760,28.2,405092,sola-browser-ce
2,717783,717774,0.6,73832,sola-browser-ce
2,717784,717774,0.6,73672,sola-browser-ce
2,717856,717774,1.4,107464,sola-browser-ce
2,717853,717783,6.2,221620,sola-browser-ce
2,717857,717784,0.0,46632,sola-browser-ce
2,717870,717784,0.3,73548,sola-browser-ce
2,717875,717784,0.6,104616,sola-browser-ce
4,717774,717760,18.4,405096,sola-browser-ce
4,717783,717774,0.4,73832,sola-browser-ce
4,717784,717774,0.4,73672,sola-browser-ce
4,717856,717774,0.9,107464,sola-browser-ce
4,717853,717783,4.1,221624,sola-browser-ce
4,717857,717784,0.0,46632,sola-browser-ce
4,717870,717784,0.2,73548,sola-browser-ce
4,717875,717784,0.4,104616,sola-browser-ce
5,717774,717760,13.7,405160,sola-browser-ce
5,717783,717774,0.3,73832,sola-browser-ce
5,717784,717774,0.3,73672,sola-browser-ce
5,717856,717774,0.6,107464,sola-browser-ce
5,717853,717783,3.0,221624,sola-browser-ce
5,717857,717784,0.0,46632,sola-browser-ce
5,717870,717784,0.1,73548,sola-browser-ce
5,717875,717784,0.3,104616,sola-browser-ce
7,717774,717760,11.0,405160,sola-browser-ce
7,717783,717774,0.2,73832,sola-browser-ce
7,717784,717774,0.2,73672,sola-browser-ce
7,717856,717774,0.5,107464,sola-browser-ce
7,717853,717783,2.4,221624,sola-browser-ce
7,717857,717784,0.0,46632,sola-browser-ce
7,717870,717784,0.1,73548,sola-browser-ce
7,717875,717784,0.2,104616,sola-browser-ce
8,717774,717760,9.1,405160,sola-browser-ce
8,717783,717774,0.2,73832,sola-browser-ce
8,717784,717774,0.2,73672,sola-browser-ce
8,717856,717774,0.4,107464,sola-browser-ce
8,717853,717783,2.0,221624,sola-browser-ce
8,717857,717784,0.0,46632,sola-browser-ce
8,717870,717784,0.1,73548,sola-browser-ce
8,717875,717784,0.2,104616,sola-browser-ce
10,717774,717760,7.9,405280,sola-browser-ce
10,717783,717774,0.1,73832,sola-browser-ce
10,717784,717774,0.1,73672,sola-browser-ce
10,717856,717774,0.3,107468,sola-browser-ce
10,717853,717783,1.7,221624,sola-browser-ce
10,717857,717784,0.0,46700,sola-browser-ce
10,717870,717784,0.0,73560,sola-browser-ce
10,717875,717784,0.1,104624,sola-browser-ce
11,717774,717760,6.9,405280,sola-browser-ce
11,717783,717774,0.1,73832,sola-browser-ce
11,717784,717774,0.1,73672,sola-browser-ce
11,717856,717774,0.3,107468,sola-browser-ce
11,717853,717783,1.4,221624,sola-browser-ce
11,717857,717784,0.0,46700,sola-browser-ce
11,717870,717784,0.0,73560,sola-browser-ce
11,717875,717784,0.1,104624,sola-browser-ce
13,717774,717760,6.1,405280,sola-browser-ce
13,717783,717774,0.1,73832,sola-browser-ce
13,717784,717774,0.1,73672,sola-browser-ce
13,717856,717774,0.2,107468,sola-browser-ce
13,717853,717783,1.3,221624,sola-browser-ce
13,717857,717784,0.0,46700,sola-browser-ce
13,717870,717784,0.0,73560,sola-browser-ce
13,717875,717784,0.1,104624,sola-browser-ce
14,717774,717760,5.6,405280,sola-browser-ce
14,717783,717774,0.1,73832,sola-browser-ce
14,717784,717774,0.1,73672,sola-browser-ce
14,717856,717774,0.2,107468,sola-browser-ce
14,717853,717783,1.1,221624,sola-browser-ce
14,717857,717784,0.0,46700,sola-browser-ce
14,717870,717784,0.0,73560,sola-browser-ce
14,717875,717784,0.1,104624,sola-browser-ce
16,717774,717760,5.1,405380,sola-browser-ce
16,717783,717774,0.1,73832,sola-browser-ce
16,717784,717774,0.1,73672,sola-browser-ce
16,717856,717774,0.2,107468,sola-browser-ce
16,717853,717783,1.0,221624,sola-browser-ce
16,717857,717784,0.0,46700,sola-browser-ce
16,717870,717784,0.0,73560,sola-browser-ce
16,717875,717784,0.1,104624,sola-browser-ce
17,717774,717760,4.6,405384,sola-browser-ce
17,717783,717774,0.1,73832,sola-browser-ce
17,717784,717774,0.1,73672,sola-browser-ce
17,717856,717774,0.2,107468,sola-browser-ce
17,717853,717783,0.9,221624,sola-browser-ce
17,717857,717784,0.0,46700,sola-browser-ce
17,717870,717784,0.0,73560,sola-browser-ce
17,717875,717784,0.1,104624,sola-browser-ce
19,717774,717760,4.3,405384,sola-browser-ce
19,717783,717774,0.1,73832,sola-browser-ce
19,717784,717774,0.1,73672,sola-browser-ce
19,717856,717774,0.2,107468,sola-browser-ce
19,717853,717783,0.9,221624,sola-browser-ce
19,717857,717784,0.0,46700,sola-browser-ce
19,717870,717784,0.0,73560,sola-browser-ce
19,717875,717784,0.1,104624,sola-browser-ce
21,717774,717760,4.0,405384,sola-browser-ce
21,717783,717774,0.0,73832,sola-browser-ce
21,717784,717774,0.0,73672,sola-browser-ce
21,717856,717774,0.1,107468,sola-browser-ce
21,717853,717783,0.8,221624,sola-browser-ce
21,717857,717784,0.0,46700,sola-browser-ce
21,717870,717784,0.0,73560,sola-browser-ce
21,717875,717784,0.0,104624,sola-browser-ce
22,717774,717760,3.8,405384,sola-browser-ce
22,717783,717774,0.0,73832,sola-browser-ce
22,717784,717774,0.0,73672,sola-browser-ce
22,717856,717774,0.1,107468,sola-browser-ce
22,717853,717783,0.7,221624,sola-browser-ce
22,717857,717784,0.0,46700,sola-browser-ce
22,717870,717784,0.0,73560,sola-browser-ce
22,717875,717784,0.0,104624,sola-browser-ce
24,717774,717760,3.5,405384,sola-browser-ce
24,717783,717774,0.0,73832,sola-browser-ce
24,717784,717774,0.0,73672,sola-browser-ce
24,717856,717774,0.1,107468,sola-browser-ce
24,717853,717783,0.7,221624,sola-browser-ce
24,717857,717784,0.0,46700,sola-browser-ce
24,717870,717784,0.0,73560,sola-browser-ce
24,717875,717784,0.0,104624,sola-browser-ce
25,717774,717760,3.3,405384,sola-browser-ce
25,717783,717774,0.0,73832,sola-browser-ce
25,717784,717774,0.0,73672,sola-browser-ce
25,717856,717774,0.1,107468,sola-browser-ce
25,717853,717783,0.6,221624,sola-browser-ce
25,717857,717784,0.0,46700,sola-browser-ce
25,717870,717784,0.0,73560,sola-browser-ce
25,717875,717784,0.0,104624,sola-browser-ce
27,717774,717760,3.2,405384,sola-browser-ce
27,717783,717774,0.0,73832,sola-browser-ce
27,717784,717774,0.0,73672,sola-browser-ce
27,717856,717774,0.1,107468,sola-browser-ce
27,717853,717783,0.6,221624,sola-browser-ce
27,717857,717784,0.0,46700,sola-browser-ce
27,717870,717784,0.0,73560,sola-browser-ce
27,717875,717784,0.0,104624,sola-browser-ce
28,717774,717760,3.0,405384,sola-browser-ce
28,717783,717774,0.0,73832,sola-browser-ce
28,717784,717774,0.0,73672,sola-browser-ce
28,717856,717774,0.1,107468,sola-browser-ce
28,717853,717783,0.6,221624,sola-browser-ce
28,717857,717784,0.0,46700,sola-browser-ce
28,717870,717784,0.0,73560,sola-browser-ce
28,717875,717784,0.0,104624,sola-browser-ce
