t_s,pid,ppid,cpu_pct,rss_kib,comm
0,726698,726684,133,105228,sola-browser-ce
1,726698,726684,81.1,538932,sola-browser-ce
1,726707,726698,0.7,77544,sola-browser-ce
1,726708,726698,1.4,77504,sola-browser-ce
1,726780,726698,19.8,113736,sola-browser-ce
1,726777,726707,28.9,275252,sola-browser-ce
1,726781,726708,0.0,48076,sola-browser-ce
1,726794,726708,1.4,73716,sola-browser-ce
1,726799,726708,89.5,275284,sola-browser-ce
3,726698,726684,52.5,541004,sola-browser-ce
3,726707,726698,0.3,77544,sola-browser-ce
3,726708,726698,0.6,77504,sola-browser-ce
3,726780,726698,9.3,113736,sola-browser-ce
3,726777,726707,25.4,312492,sola-browser-ce
3,726781,726708,0.0,48076,sola-browser-ce
3,726794,726708,0.6,73716,sola-browser-ce
3,726799,726708,56.7,298780,sola-browser-ce
4,726698,726684,45.5,560584,sola-browser-ce
4,726707,726698,0.2,77544,sola-browser-ce
4,726708,726698,0.4,77504,sola-browser-ce
4,726780,726698,6.1,114124,sola-browser-ce
4,726777,726707,23.9,310428,sola-browser-ce
4,726781,726708,0.0,48076,sola-browser-ce
4,726794,726708,0.4,73716,sola-browser-ce
4,726799,726708,40.7,298220,sola-browser-ce
6,726698,726684,40.3,560676,sola-browser-ce
6,726707,726698,0.1,77544,sola-browser-ce
6,726708,726698,0.3,77504,sola-browser-ce
6,726780,726698,4.5,114124,sola-browser-ce
6,726777,726707,21.9,310796,sola-browser-ce
6,726781,726708,0.0,48208,sola-browser-ce
6,726794,726708,0.3,73716,sola-browser-ce
6,726799,726708,32.2,298816,sola-browser-ce
8,726698,726684,37.2,570952,sola-browser-ce
8,726707,726698,0.1,77544,sola-browser-ce
8,726708,726698,0.2,77504,sola-browser-ce
8,726780,726698,3.7,114124,sola-browser-ce
8,726777,726707,20.7,310984,sola-browser-ce
8,726781,726708,0.0,48208,sola-browser-ce
8,726794,726708,0.2,73716,sola-browser-ce
8,726799,726708,27.0,299216,sola-browser-ce
9,726698,726684,35.2,560740,sola-browser-ce
9,726707,726698,0.1,77544,sola-browser-ce
9,726708,726698,0.2,77504,sola-browser-ce
9,726780,726698,3.1,114124,sola-browser-ce
9,726777,726707,19.7,311104,sola-browser-ce
9,726781,726708,0.0,48208,sola-browser-ce
9,726794,726708,0.2,73716,sola-browser-ce
9,726799,726708,23.6,299648,sola-browser-ce
11,726698,726684,33.8,560852,sola-browser-ce
11,726707,726698,0.0,77544,sola-browser-ce
