t_s,pid,ppid,cpu_pct,rss_kib,comm
0,722156,722116,100,100944,sola-browser-ce
1,722156,722116,66.1,423316,sola-browser-ce
1,722165,722156,1.4,73912,sola-browser-ce
1,722166,722156,1.3,73456,sola-browser-ce
1,722238,722156,17.3,115804,sola-browser-ce
1,722235,722165,24.1,295100,sola-browser-ce
1,722239,722166,0.0,48136,sola-browser-ce
1,722252,722166,6.2,123264,sola-browser-ce
1,722259,722166,78.2,430928,sola-browser-ce
3,722156,722116,39.5,450688,sola-browser-ce
3,722165,722156,0.6,73912,sola-browser-ce
3,722166,722156,0.6,73456,sola-browser-ce
3,722238,722156,10.5,116456,sola-browser-ce
3,722235,722165,15.4,381968,sola-browser-ce
3,722239,722166,0.0,48136,sola-browser-ce
3,722252,722166,3.3,125904,sola-browser-ce
3,722259,722166,47.1,441784,sola-browser-ce
3,722405,722166,1.1,73184,sola-browser-ce
4,722156,722116,27.6,458164,sola-browser-ce
4,722165,722156,0.4,73912,sola-browser-ce
4,722166,722156,0.4,73456,sola-browser-ce
4,722238,722156,6.8,116840,sola-browser-ce
4,722235,722165,10.3,355720,sola-browser-ce
4,722239,722166,0.0,48136,sola-browser-ce
4,722252,722166,2.1,125904,sola-browser-ce
4,722259,722166,32.2,416500,sola-browser-ce
4,722405,722166,0.5,73184,sola-browser-ce
6,722156,722116,20.5,458232,sola-browser-ce
6,722165,722156,0.3,73912,sola-browser-ce
6,722166,722156,0.3,73456,sola-browser-ce
6,722238,722156,5.0,116840,sola-browser-ce
6,722235,722165,7.6,355724,sola-browser-ce
6,722239,722166,0.0,48136,sola-browser-ce
6,722252,722166,1.6,125904,sola-browser-ce
6,722259,722166,24.4,416544,sola-browser-ce
6,722405,722166,0.4,73184,sola-browser-ce
8,722156,722116,16.3,458232,sola-browser-ce
8,722165,722156,0.2,73912,sola-browser-ce
8,722166,722156,0.2,73456,sola-browser-ce
8,722238,722156,4.0,116840,sola-browser-ce
8,722235,722165,6.2,355724,sola-browser-ce
8,722239,722166,0.0,48268,sola-browser-ce
8,722252,722166,1.2,125904,sola-browser-ce
8,722259,722166,19.9,417424,sola-browser-ce
8,722405,722166,0.3,73184,sola-browser-ce
9,722156,722116,13.6,458232,sola-browser-ce
9,722165,722156,0.2,73912,sola-browser-ce
9,722166,722156,0.2,73456,sola-browser-ce
9,722238,722156,3.3,116840,sola-browser-ce
9,722235,722165,5.2,355724,sola-browser-ce
9,722239,722166,0.0,48268,sola-browser-ce
9,722252,722166,1.0,125904,sola-browser-ce
9,722259,722166,16.8,418340,sola-browser-ce
9,722405,722166,0.2,73184,sola-browser-ce
11,722156,722116,11.7,458300,sola-browser-ce
11,722165,722156,0.1,73912,sola-browser-ce
11,722166,722156,0.1,73456,sola-browser-ce
11,722238,722156,2.8,116852,sola-browser-ce
11,722235,722165,4.4,355724,sola-browser-ce
11,722239,722166,0.0,48336,sola-browser-ce
11,722252,722166,0.9,125912,sola-browser-ce
11,722259,722166,14.7,419256,sola-browser-ce
11,722405,722166,0.2,73184,sola-browser-ce
12,722156,722116,10.2,458300,sola-browser-ce
12,722165,722156,0.1,73912,sola-browser-ce
12,722166,722156,0.1,73456,sola-browser-ce
12,722238,722156,2.4,116852,sola-browser-ce
12,722235,722165,3.9,355724,sola-browser-ce
12,722239,722166,0.0,48336,sola-browser-ce
12,722252,722166,0.7,125912,sola-browser-ce
12,722259,722166,13.1,420200,sola-browser-ce
12,722405,722166,0.1,73196,sola-browser-ce
14,722156,722116,9.0,458300,sola-browser-ce
