t_s,pid,ppid,cpu_pct,rss_kib,comm
0,731466,731452,100,98368,sola-browser-ce
1,731466,731452,65.4,425680,sola-browser-ce
1,731475,731466,0.7,73816,sola-browser-ce
1,731476,731466,1.3,74144,sola-browser-ce
1,731548,731466,13.5,110164,sola-browser-ce
1,731545,731475,39.1,426824,sola-browser-ce
1,731549,731476,0.0,47928,sola-browser-ce
1,731559,731476,0.6,73280,sola-browser-ce
1,731560,731476,37.8,173520,sola-browser-ce
1,731616,731476,0.0,37332,sola-browser-ce
3,731466,731452,45.3,427900,sola-browser-ce
3,731475,731466,0.3,73816,sola-browser-ce
3,731476,731466,0.6,74144,sola-browser-ce
3,731548,731466,6.3,110164,sola-browser-ce
3,731545,731475,27.1,426588,sola-browser-ce
3,731549,731476,0.0,47928,sola-browser-ce
3,731559,731476,0.3,73280,sola-browser-ce
3,731560,731476,25.7,165420,sola-browser-ce
3,731616,731476,0.0,37332,sola-browser-ce
5,731466,731452,40.0,446120,sola-browser-ce
5,731475,731466,0.2,73816,sola-browser-ce
5,731476,731466,0.4,74144,sola-browser-ce
5,731548,731466,4.1,110580,sola-browser-ce
5,731545,731475,23.1,426620,sola-browser-ce
5,731549,731476,0.0,47928,sola-browser-ce
5,731559,731476,0.2,73280,sola-browser-ce
5,731560,731476,19.9,165844,sola-browser-ce
5,731616,731476,0.0,37332,sola-browser-ce
6,731466,731452,36.3,441116,sola-browser-ce
6,731475,731466,0.1,73816,sola-browser-ce
6,731476,731466,0.3,74144,sola-browser-ce
6,731548,731466,3.0,110580,sola-browser-ce
6,731545,731475,21.5,426636,sola-browser-ce
6,731549,731476,0.0,47928,sola-browser-ce
6,731559,731476,0.1,73280,sola-browser-ce
6,731560,731476,16.9,166456,sola-browser-ce
6,731616,731476,0.0,37332,sola-browser-ce
8,731466,731452,34.1,441148,sola-browser-ce
8,731475,731466,0.1,73816,sola-browser-ce
8,731476,731466,0.2,74144,sola-browser-ce
8,731548,731466,2.4,110580,sola-browser-ce
8,731545,731475,20.4,426664,sola-browser-ce
8,731549,731476,0.0,47928,sola-browser-ce
8,731559,731476,0.1,73280,sola-browser-ce
8,731560,731476,15.2,171040,sola-browser-ce
8,731616,731476,0.0,37332,sola-browser-ce
9,731466,731452,32.6,441176,sola-browser-ce
9,731475,731466,0.1,73816,sola-browser-ce
9,731476,731466,0.2,74144,sola-browser-ce
9,731548,731466,2.0,110580,sola-browser-ce
9,731545,731475,19.7,426676,sola-browser-ce
9,731549,731476,0.0,47928,sola-browser-ce
9,731559,731476,0.1,73280,sola-browser-ce
9,731560,731476,14.0,171624,sola-browser-ce
9,731616,731476,0.0,37332,sola-browser-ce
11,731466,731452,31.8,441296,sola-browser-ce
11,731475,731466,0.0,73816,sola-browser-ce
11,731476,731466,0.1,74144,sola-browser-ce
11,731548,731466,1.7,110584,sola-browser-ce
11,731545,731475,19.2,426676,sola-browser-ce
11,731549,731476,0.0,48000,sola-browser-ce
11,731559,731476,0.0,73288,sola-browser-ce
11,731560,731476,13.1,172276,sola-browser-ce
11,731616,731476,0.0,37464,sola-browser-ce
13,731466,731452,31.1,441328,sola-browser-ce
13,731475,731466,0.0,73816,sola-browser-ce
13,731476,731466,0.1,74144,sola-browser-ce
13,731548,731466,1.5,110584,sola-browser-ce
13,731545,731475,18.9,426676,sola-browser-ce
13,731549,731476,0.0,48000,sola-browser-ce
13,731559,731476,0.0,73288,sola-browser-ce
13,731560,731476,12.6,172872,sola-browser-ce
13,731616,731476,0.0,37464,sola-browser-ce
14,731466,731452,30.5,441340,sola-browser-ce
14,731475,731466,0.0,73816,sola-browser-ce
