t_s,pid,ppid,cpu_pct,rss_kib,comm
0,715771,715738,75.0,68024,sola-browser-wp
1,715771,715738,34.7,224432,sola-browser-wp
1,715783,715771,2.1,47084,WPENetworkProce
1,715787,715771,0.0,2248,bwrap
1,715796,715771,0.0,2300,bwrap
1,715788,715787,0.0,1656,bwrap
1,715798,715796,0.0,1664,bwrap
1,715793,715788,0.0,6100,xdg-dbus-proxy
1,715835,715798,27.6,175928,WPEWebProcess
3,715771,715738,16.6,224432,sola-browser-wp
3,715783,715771,1.0,47084,WPENetworkProce
3,715787,715771,0.0,2248,bwrap
3,715796,715771,0.0,2300,bwrap
3,715788,715787,0.0,1656,bwrap
3,715798,715796,0.0,1664,bwrap
3,715793,715788,0.0,6100,xdg-dbus-proxy
3,715835,715798,13.8,175928,WPEWebProcess
4,715771,715738,11.1,224432,sola-browser-wp
4,715783,715771,0.6,47084,WPENetworkProce
4,715787,715771,0.0,2248,bwrap
4,715796,715771,0.0,2300,bwrap
4,715788,715787,0.0,1656,bwrap
4,715798,715796,0.0,1664,bwrap
4,715793,715788,0.0,6100,xdg-dbus-proxy
4,715835,715798,9.2,175848,WPEWebProcess
6,715771,715738,8.4,224520,sola-browser-wp
6,715783,715771,0.5,47084,WPENetworkProce
6,715787,715771,0.0,2248,bwrap
6,715796,715771,0.0,2300,bwrap
6,715788,715787,0.0,1656,bwrap
6,715798,715796,0.0,1664,bwrap
6,715793,715788,0.0,6100,xdg-dbus-proxy
6,715835,715798,6.9,175848,WPEWebProcess
7,715771,715738,6.7,224520,sola-browser-wp
7,715783,715771,0.4,47084,WPENetworkProce
7,715787,715771,0.0,2248,bwrap
7,715796,715771,0.0,2300,bwrap
7,715788,715787,0.0,1656,bwrap
7,715798,715796,0.0,1664,bwrap
7,715793,715788,0.0,6100,xdg-dbus-proxy
7,715835,715798,5.5,175848,WPEWebProcess
9,715771,715738,5.5,224520,sola-browser-wp
9,715783,715771,0.3,47084,WPENetworkProce
9,715787,715771,0.0,2248,bwrap
9,715796,715771,0.0,2300,bwrap
9,715788,715787,0.0,1656,bwrap
9,715798,715796,0.0,1664,bwrap
9,715793,715788,0.0,6100,xdg-dbus-proxy
9,715835,715798,4.5,175848,WPEWebProcess
10,715771,715738,4.8,224520,sola-browser-wp
10,715783,715771,0.2,47084,WPENetworkProce
10,715787,715771,0.0,2248,bwrap
10,715796,715771,0.0,2300,bwrap
10,715788,715787,0.0,1656,bwrap
