t_s,pid,ppid,cpu_pct,rss_kib,comm
0,724222,724208,75.0,69248,sola-browser-wp
1,724222,724208,31.3,228504,sola-browser-wp
1,724234,724222,24.8,131884,WPENetworkProce
1,724238,724222,0.0,2288,bwrap
1,724247,724222,0.0,2292,bwrap
1,724239,724238,0.0,1652,bwrap
1,724249,724247,0.0,1668,bwrap
1,724244,724239,0.0,6104,xdg-dbus-proxy
1,724286,724249,111,471304,WPEWebProcess
3,724222,724208,25.1,230796,sola-browser-wp
3,724234,724222,17.5,112500,WPENetworkProce
3,724238,724222,0.0,2288,bwrap
3,724247,724222,0.0,2292,bwrap
3,724239,724238,0.0,1652,bwrap
3,724249,724247,0.0,1668,bwrap
3,724244,724239,0.0,6108,xdg-dbus-proxy
3,724286,724249,127,837160,WPEWebProcess
4,724222,724208,24.0,230848,sola-browser-wp
4,724234,724222,11.4,109760,WPENetworkProce
4,724238,724222,0.0,2288,bwrap
4,724247,724222,0.0,2292,bwrap
4,724239,724238,0.0,1652,bwrap
4,724249,724247,0.0,1668,bwrap
4,724244,724239,0.0,6108,xdg-dbus-proxy
4,724286,724249,108,877312,WPEWebProcess
6,724222,724208,23.4,230936,sola-browser-wp
6,724234,724222,8.5,109760,WPENetworkProce
6,724238,724222,0.0,2288,bwrap
6,724247,724222,0.0,2292,bwrap
6,724239,724238,0.0,1652,bwrap
6,724249,724247,0.0,1668,bwrap
6,724244,724239,0.0,6108,xdg-dbus-proxy
6,724286,724249,90.9,878220,WPEWebProcess
8,724222,724208,22.9,230940,sola-browser-wp
8,724234,724222,6.9,107568,WPENetworkProce
8,724238,724222,0.0,2288,bwrap
8,724247,724222,0.0,2292,bwrap
8,724239,724238,0.0,1652,bwrap
8,724249,724247,0.0,1668,bwrap
8,724244,724239,0.0,6108,xdg-dbus-proxy
8,724286,724249,79.5,877068,WPEWebProcess
9,724222,724208,22.6,230940,sola-browser-wp
9,724234,724222,5.7,105784,WPENetworkProce
9,724238,724222,0.0,2288,bwrap
9,724247,724222,0.0,2292,bwrap
9,724239,724238,0.0,1652,bwrap
9,724249,724247,0.0,1668,bwrap
9,724244,724239,0.0,6108,xdg-dbus-proxy
9,724286,724249,71.5,877352,WPEWebProcess
11,724222,724208,22.3,230940,sola-browser-wp
11,724234,724222,4.9,105784,WPENetworkProce
11,724238,724222,0.0,2288,bwrap
11,724247,724222,0.0,2292,bwrap
11,724239,724238,0.0,1652,bwrap
11,724249,724247,0.0,1668,bwrap
11,724244,724239,0.0,6108,xdg-dbus-proxy
11,724286,724249,65.3,877064,WPEWebProcess
12,724222,724208,22.1,230940,sola-browser-wp
12,724234,724222,4.2,105784,WPENetworkProce
12,724238,724222,0.0,2288,bwrap
12,724247,724222,0.0,2292,bwrap
12,724239,724238,0.0,1652,bwrap
12,724249,724247,0.0,1668,bwrap
12,724244,724239,0.0,6108,xdg-dbus-proxy
12,724286,724249,60.6,878260,WPEWebProcess
14,724222,724208,22.0,230940,sola-browser-wp
14,724234,724222,3.7,105784,WPENetworkProce
14,724238,724222,0.0,2288,bwrap
14,724247,724222,0.0,2292,bwrap
14,724239,724238,0.0,1652,bwrap
14,724249,724247,0.0,1668,bwrap
14,724244,724239,0.0,6108,xdg-dbus-proxy
14,724286,724249,57.1,876612,WPEWebProcess
15,724222,724208,21.8,230940,sola-browser-wp
15,724234,724222,3.4,105784,WPENetworkProce
15,724238,724222,0.0,2288,bwrap
15,724247,724222,0.0,2292,bwrap
15,724239,724238,0.0,1652,bwrap
15,724249,724247,0.0,1668,bwrap
15,724244,724239,0.0,6108,xdg-dbus-proxy
15,724286,724249,54.1,878100,WPEWebProcess
17,724222,724208,21.7,230940,sola-browser-wp
17,724234,724222,3.0,105784,WPENetworkProce
17,724238,724222,0.0,2288,bwrap
17,724247,724222,0.0,2292,bwrap
17,724239,724238,0.0,1652,bwrap
17,724249,724247,0.0,1668,bwrap
17,724244,724239,0.0,6108,xdg-dbus-proxy
17,724286,724249,51.7,878132,WPEWebProcess
18,724222,724208,21.6,230940,sola-browser-wp
18,724234,724222,2.8,105824,WPENetworkProce
18,724238,724222,0.0,2288,bwrap
18,724247,724222,0.0,2292,bwrap
18,724239,724238,0.0,1652,bwrap
18,724249,724247,0.0,1668,bwrap
18,724244,724239,0.0,6236,xdg-dbus-proxy
18,724286,724249,49.2,748032,WPEWebProcess
20,724222,724208,21.6,230940,sola-browser-wp
20,724234,724222,2.6,105664,WPENetworkProce
20,724238,724222,0.0,2288,bwrap
20,724247,724222,0.0,2292,bwrap
20,724239,724238,0.0,1652,bwrap
20,724249,724247,0.0,1668,bwrap
20,724244,724239,0.0,6236,xdg-dbus-proxy
20,724286,724249,46.2,748060,WPEWebProcess
21,724222,724208,21.6,230940,sola-browser-wp
21,724234,724222,2.4,105664,WPENetworkProce
21,724238,724222,0.0,2288,bwrap
21,724247,724222,0.0,2292,bwrap
21,724239,724238,0.0,1652,bwrap
21,724249,724247,0.0,1668,bwrap
21,724244,724239,0.0,6236,xdg-dbus-proxy
21,724286,724249,43.5,747452,WPEWebProcess
23,724222,724208,21.6,230940,sola-browser-wp
23,724234,724222,2.2,105648,WPENetworkProce
23,724238,724222,0.0,2288,bwrap
23,724247,724222,0.0,2292,bwrap
23,724239,724238,0.0,1652,bwrap
23,724249,724247,0.0,1668,bwrap
23,724244,724239,0.0,6236,xdg-dbus-proxy
23,724286,724249,41.3,747284,WPEWebProcess
25,724222,724208,21.6,230940,sola-browser-wp
25,724234,724222,2.1,105648,WPENetworkProce
25,724238,724222,0.0,2288,bwrap
25,724247,724222,0.0,2292,bwrap
25,724239,724238,0.0,1652,bwrap
25,724249,724247,0.0,1668,bwrap
25,724244,724239,0.0,6236,xdg-dbus-proxy
25,724286,724249,39.3,748364,WPEWebProcess
26,724222,724208,21.5,230940,sola-browser-wp
26,724234,724222,1.9,105648,WPENetworkProce
26,724238,724222,0.0,2288,bwrap
26,724247,724222,0.0,2292,bwrap
26,724239,724238,0.0,1652,bwrap
26,724249,724247,0.0,1668,bwrap
26,724244,724239,0.0,6236,xdg-dbus-proxy
26,724286,724249,37.5,748388,WPEWebProcess
28,724222,724208,21.4,230940,sola-browser-wp
28,724234,724222,1.8,105648,WPENetworkProce
28,724238,724222,0.0,2288,bwrap
28,724247,724222,0.0,2292,bwrap
28,724239,724238,0.0,1652,bwrap
28,724249,724247,0.0,1668,bwrap
28,724244,724239,0.0,6236,xdg-dbus-proxy
28,724286,724249,35.8,747660,WPEWebProcess
29,724222,724208,21.4,230944,sola-browser-wp
29,724234,724222,1.7,105632,WPENetworkProce
29,724238,724222,0.0,2288,bwrap
