t_s,pid,ppid,cpu_pct,rss_kib,comm
0,719701,719687,75.0,69180,sola-browser-wp
1,719701,719687,33.5,224340,sola-browser-wp
1,719713,719701,29.4,115108,WPENetworkProce
1,719717,719701,0.0,2252,bwrap
1,719726,719701,0.0,2292,bwrap
1,719718,719717,0.0,1652,bwrap
1,719728,719726,0.0,1672,bwrap
1,719723,719718,0.0,6124,xdg-dbus-proxy
1,719766,719728,15.2,163160,WPEWebProcess
3,719701,719687,23.1,231444,sola-browser-wp
3,719713,719701,21.3,120532,WPENetworkProce
3,719717,719701,0.0,2252,bwrap
3,719726,719701,0.0,2292,bwrap
3,719718,719717,0.0,1652,bwrap
3,719728,719726,0.0,1672,bwrap
3,719723,719718,0.0,6128,xdg-dbus-proxy
3,719766,719728,96.3,927512,WPEWebProcess
4,719701,719687,22.2,231080,sola-browser-wp
4,719713,719701,14.8,108952,WPENetworkProce
4,719717,719701,0.0,2252,bwrap
4,719726,719701,0.0,2292,bwrap
4,719718,719717,0.0,1652,bwrap
4,719728,719726,0.0,1672,bwrap
4,719723,719718,0.0,6128,xdg-dbus-proxy
4,719766,719728,68.3,905744,WPEWebProcess
6,719701,719687,21.8,231176,sola-browser-wp
6,719713,719701,11.0,108952,WPENetworkProce
6,719717,719701,0.0,2252,bwrap
6,719726,719701,0.0,2292,bwrap
6,719718,719717,0.0,1652,bwrap
6,719728,719726,0.0,1672,bwrap
6,719723,719718,0.0,6128,xdg-dbus-proxy
6,719766,719728,53.4,905144,WPEWebProcess
7,719701,719687,21.7,231180,sola-browser-wp
7,719713,719701,8.8,108952,WPENetworkProce
7,719717,719701,0.0,2252,bwrap
7,719726,719701,0.0,2292,bwrap
7,719718,719717,0.0,1652,bwrap
7,719728,719726,0.0,1672,bwrap
7,719723,719718,0.0,6128,xdg-dbus-proxy
7,719766,719728,43.7,905096,WPEWebProcess
9,719701,719687,21.9,231180,sola-browser-wp
9,719713,719701,7.3,108268,WPENetworkProce
9,719717,719701,0.0,2252,bwrap
9,719726,719701,0.0,2292,bwrap
9,719718,719717,0.0,1652,bwrap
9,719728,719726,0.0,1672,bwrap
9,719723,719718,0.0,6128,xdg-dbus-proxy
9,719766,719728,38.0,905164,WPEWebProcess
10,719701,719687,21.9,231180,sola-browser-wp
10,719713,719701,6.2,108080,WPENetworkProce
10,719717,719701,0.0,2252,bwrap
10,719726,719701,0.0,2292,bwrap
10,719718,719717,0.0,1652,bwrap
10,719728,719726,0.0,1672,bwrap
10,719723,719718,0.0,6128,xdg-dbus-proxy
10,719766,719728,33.5,905028,WPEWebProcess
12,719701,719687,22.1,231180,sola-browser-wp
12,719713,719701,5.4,108080,WPENetworkProce
12,719717,719701,0.0,2252,bwrap
12,719726,719701,0.0,2292,bwrap
12,719718,719717,0.0,1652,bwrap
12,719728,719726,0.0,1672,bwrap
12,719723,719718,0.0,6128,xdg-dbus-proxy
12,719766,719728,29.9,905036,WPEWebProcess
13,719701,719687,22.1,231184,sola-browser-wp
13,719713,719701,4.8,108080,WPENetworkProce
13,719717,719701,0.0,2252,bwrap
13,719726,719701,0.0,2292,bwrap
13,719718,719717,0.0,1652,bwrap
13,719728,719726,0.0,1672,bwrap
13,719723,719718,0.0,6128,xdg-dbus-proxy
13,719766,719728,27.3,904104,WPEWebProcess
15,719701,719687,22.1,231184,sola-browser-wp
15,719713,719701,4.3,108080,WPENetworkProce
15,719717,719701,0.0,2252,bwrap
15,719726,719701,0.0,2292,bwrap
15,719718,719717,0.0,1652,bwrap
15,719728,719726,0.0,1672,bwrap
15,719723,719718,0.0,6128,xdg-dbus-proxy
15,719766,719728,25.1,904116,WPEWebProcess
17,719701,719687,22.1,231184,sola-browser-wp
17,719713,719701,3.9,108080,WPENetworkProce
17,719717,719701,0.0,2252,bwrap
17,719726,719701,0.0,2292,bwrap
17,719718,719717,0.0,1652,bwrap
17,719728,719726,0.0,1672,bwrap
17,719723,719718,0.0,6128,xdg-dbus-proxy
17,719766,719728,23.2,903824,WPEWebProcess
18,719701,719687,22.2,231184,sola-browser-wp
18,719713,719701,3.6,108080,WPENetworkProce
18,719717,719701,0.0,2252,bwrap
18,719726,719701,0.0,2292,bwrap
18,719718,719717,0.0,1652,bwrap
18,719728,719726,0.0,1672,bwrap
18,719723,719718,0.0,6256,xdg-dbus-proxy
18,719766,719728,21.7,903748,WPEWebProcess
20,719701,719687,22.2,231184,sola-browser-wp
20,719713,719701,3.3,107952,WPENetworkProce
20,719717,719701,0.0,2252,bwrap
20,719726,719701,0.0,2292,bwrap
20,719718,719717,0.0,1652,bwrap
20,719728,719726,0.0,1672,bwrap
20,719723,719718,0.0,6256,xdg-dbus-proxy
20,719766,719728,20.5,902360,WPEWebProcess
21,719701,719687,22.3,231192,sola-browser-wp
21,719713,719701,3.0,107952,WPENetworkProce
21,719717,719701,0.0,2252,bwrap
21,719726,719701,0.0,2292,bwrap
21,719718,719717,0.0,1652,bwrap
21,719728,719726,0.0,1672,bwrap
21,719723,719718,0.0,6256,xdg-dbus-proxy
21,719766,719728,19.5,902460,WPEWebProcess
23,719701,719687,22.3,231192,sola-browser-wp
23,719713,719701,2.8,107952,WPENetworkProce
23,719717,719701,0.0,2252,bwrap
23,719726,719701,0.0,2292,bwrap
23,719718,719717,0.0,1652,bwrap
23,719728,719726,0.0,1672,bwrap
