t_s,pid,ppid,cpu_pct,rss_kib,comm
0,729066,729033,100,69228,sola-browser-wp
1,729066,729033,34.7,228580,sola-browser-wp
1,729078,729066,21.0,101328,WPENetworkProce
1,729082,729066,0.0,2284,bwrap
1,729091,729066,0.0,2300,bwrap
1,729083,729082,0.0,1660,bwrap
1,729093,729091,0.0,1664,bwrap
1,729088,729083,0.0,6096,xdg-dbus-proxy
1,729130,729093,83.6,407776,WPEWebProcess
3,729066,729033,22.3,230364,sola-browser-wp
3,729078,729066,9.9,100856,WPENetworkProce
3,729082,729066,0.0,2284,bwrap
3,729091,729066,0.0,2300,bwrap
3,729083,729082,0.0,1660,bwrap
3,729093,729091,0.0,1664,bwrap
3,729088,729083,0.0,6096,xdg-dbus-proxy
3,729130,729093,50.6,397580,WPEWebProcess
4,729066,729033,18.9,230464,sola-browser-wp
4,729078,729066,6.5,100856,WPENetworkProce
4,729082,729066,0.0,2284,bwrap
4,729091,729066,0.0,2300,bwrap
4,729083,729082,0.0,1660,bwrap
4,729093,729091,0.0,1664,bwrap
4,729088,729083,0.0,6096,xdg-dbus-proxy
4,729130,729093,38.3,399452,WPEWebProcess
6,729066,729033,17.4,230556,sola-browser-wp
6,729078,729066,4.8,100980,WPENetworkProce
6,729082,729066,0.0,2284,bwrap
6,729091,729066,0.0,2300,bwrap
6,729083,729082,0.0,1660,bwrap
6,729093,729091,0.0,1664,bwrap
6,729088,729083,0.0,6096,xdg-dbus-proxy
6,729130,729093,31.6,398400,WPEWebProcess
8,729066,729033,16.6,230556,sola-browser-wp
8,729078,729066,3.8,100608,WPENetworkProce
8,729082,729066,0.0,2284,bwrap
8,729091,729066,0.0,2300,bwrap
8,729083,729082,0.0,1660,bwrap
8,729093,729091,0.0,1664,bwrap
8,729088,729083,0.0,6096,xdg-dbus-proxy
8,729130,729093,27.9,398428,WPEWebProcess
9,729066,729033,16.1,230564,sola-browser-wp
9,729078,729066,3.2,100608,WPENetworkProce
9,729082,729066,0.0,2284,bwrap
9,729091,729066,0.0,2300,bwrap
9,729083,729082,0.0,1660,bwrap
9,729093,729091,0.0,1664,bwrap
9,729088,729083,0.0,6096,xdg-dbus-proxy
9,729130,729093,25.2,397940,WPEWebProcess
11,729066,729033,15.9,230568,sola-browser-wp
11,729078,729066,2.7,100608,WPENetworkProce
11,729082,729066,0.0,2284,bwrap
11,729091,729066,0.0,2300,bwrap
11,729083,729082,0.0,1660,bwrap
11,729093,729091,0.0,1664,bwrap
11,729088,729083,0.0,6096,xdg-dbus-proxy
11,729130,729093,23.4,400080,WPEWebProcess
12,729066,729033,15.7,230568,sola-browser-wp
12,729078,729066,2.3,100608,WPENetworkProce
12,729082,729066,0.0,2284,bwrap
12,729091,729066,0.0,2300,bwrap
12,729083,729082,0.0,1660,bwrap
12,729093,729091,0.0,1664,bwrap
12,729088,729083,0.0,6096,xdg-dbus-proxy
12,729130,729093,21.9,398324,WPEWebProcess
14,729066,729033,15.5,230576,sola-browser-wp
14,729078,729066,2.1,100608,WPENetworkProce
14,729082,729066,0.0,2284,bwrap
14,729091,729066,0.0,2300,bwrap
14,729083,729082,0.0,1660,bwrap
14,729093,729091,0.0,1664,bwrap
14,729088,729083,0.0,6096,xdg-dbus-proxy
14,729130,729093,20.9,398424,WPEWebProcess
15,729066,729033,15.3,230576,sola-browser-wp
15,729078,729066,1.8,100608,WPENetworkProce
15,729082,729066,0.0,2284,bwrap
15,729091,729066,0.0,2300,bwrap
15,729083,729082,0.0,1660,bwrap
15,729093,729091,0.0,1664,bwrap
15,729088,729083,0.0,6096,xdg-dbus-proxy
15,729130,729093,20.1,403276,WPEWebProcess
17,729066,729033,15.1,230580,sola-browser-wp
17,729078,729066,1.7,100672,WPENetworkProce
17,729082,729066,0.0,2284,bwrap
17,729091,729066,0.0,2300,bwrap
17,729083,729082,0.0,1660,bwrap
17,729093,729091,0.0,1664,bwrap
17,729088,729083,0.0,6224,xdg-dbus-proxy
17,729130,729093,19.5,398336,WPEWebProcess
18,729066,729033,15.0,230580,sola-browser-wp
18,729078,729066,1.5,100656,WPENetworkProce
18,729082,729066,0.0,2284,bwrap
18,729091,729066,0.0,2300,bwrap
18,729083,729082,0.0,1660,bwrap
18,729093,729091,0.0,1664,bwrap
18,729088,729083,0.0,6224,xdg-dbus-proxy
18,729130,729093,18.9,398344,WPEWebProcess
20,729066,729033,14.9,230580,sola-browser-wp
20,729078,729066,1.4,100656,WPENetworkProce
20,729082,729066,0.0,2284,bwrap
20,729091,729066,0.0,2300,bwrap
20,729083,729082,0.0,1660,bwrap
20,729093,729091,0.0,1664,bwrap
20,729088,729083,0.0,6224,xdg-dbus-proxy
20,729130,729093,18.3,398020,WPEWebProcess
21,729066,729033,14.8,230580,sola-browser-wp
21,729078,729066,1.3,100656,WPENetworkProce
21,729082,729066,0.0,2284,bwrap
21,729091,729066,0.0,2300,bwrap
21,729083,729082,0.0,1660,bwrap
21,729093,729091,0.0,1664,bwrap
21,729088,729083,0.0,6224,xdg-dbus-proxy
21,729130,729093,17.8,398152,WPEWebProcess
23,729066,729033,14.7,230580,sola-browser-wp
23,729078,729066,1.2,100656,WPENetworkProce
23,729082,729066,0.0,2284,bwrap
23,729091,729066,0.0,2300,bwrap
23,729083,729082,0.0,1660,bwrap
23,729093,729091,0.0,1664,bwrap
23,729088,729083,0.0,6224,xdg-dbus-proxy
23,729130,729093,17.5,398152,WPEWebProcess
25,729066,729033,14.7,230580,sola-browser-wp
25,729078,729066,1.1,100656,WPENetworkProce
25,729082,729066,0.0,2284,bwrap
25,729091,729066,0.0,2300,bwrap
25,729083,729082,0.0,1660,bwrap
25,729093,729091,0.0,1664,bwrap
25,729088,729083,0.0,6224,xdg-dbus-proxy
25,729130,729093,17.2,398132,WPEWebProcess
26,729066,729033,14.7,230584,sola-browser-wp
26,729078,729066,1.1,100656,WPENetworkProce
26,729082,729066,0.0,2284,bwrap
26,729091,729066,0.0,2300,bwrap
26,729083,729082,0.0,1660,bwrap
26,729093,729091,0.0,1664,bwrap
26,729088,729083,0.0,6224,xdg-dbus-proxy
26,729130,729093,17.0,398136,WPEWebProcess
28,729066,729033,14.6,230584,sola-browser-wp
28,729078,729066,1.0,100656,WPENetworkProce
28,729082,729066,0.0,2284,bwrap
28,729091,729066,0.0,2300,bwrap
28,729083,729082,0.0,1660,bwrap
28,729093,729091,0.0,1664,bwrap
28,729088,729083,0.0,6224,xdg-dbus-proxy
28,729130,729093,16.7,398140,WPEWebProcess
29,729066,729033,14.6,230584,sola-browser-wp
29,729078,729066,0.9,100656,WPENetworkProce
29,729082,729066,0.0,2284,bwrap
29,729091,729066,0.0,2300,bwrap
29,729083,729082,0.0,1660,bwrap
29,729093,729091,0.0,1664,bwrap
29,729088,729083,0.0,6224,xdg-dbus-proxy
29,729130,729093,16.4,398176,WPEWebProcess
